,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_0,5.677,0.2194,25.8702,0.0,5.2469,6.1071,292.0721,189.977,449.0338
emb_hadamard_1,11.7117,0.1962,59.7023,0.0,11.3273,12.0962,121996.6013,83055.4559,179195.5816
emb_hadamard_2,13.7429,0.1972,69.704,0.0,13.3565,14.1294,929995.1937,631912.0123,1368689.0635
emb_hadamard_3,3.2959,0.276,11.9417,0.0,2.755,3.8369,27.003,15.7209,46.3816
emb_hadamard_4,10.9172,0.3687,29.6098,0.0,10.1945,11.6398,55113.9248,26756.0598,113527.3556
emb_hadamard_5,17.4461,0.1863,93.6556,0.0,17.081,17.8112,37734931.4887,26192821.6715,54363179.054
emb_hadamard_6,26.5342,0.2735,97.0002,0.0,25.9981,27.0704,333937697587.6751,195353344960.8241,570834279251.8884
emb_hadamard_7,8.9723,0.2135,42.0165,0.0,8.5538,9.3909,7882.021,5186.4375,11978.599
emb_hadamard_8,6.908,0.2856,24.1889,0.0,6.3482,7.4677,1000.2058,571.479,1750.5657
emb_hadamard_9,10.4466,0.2983,35.0262,0.0,9.862,11.0311,34426.0002,19187.3681,61767.1734
emb_hadamard_10,6.6794,0.4896,13.6419,0.0,5.7198,7.6391,795.8608,304.8361,2077.8198
emb_hadamard_11,1.5765,0.3079,5.1193,0.0,0.9729,2.1801,4.8379,2.6457,8.8468
emb_hadamard_12,-1.103,0.2314,-4.7673,0.0,-1.5565,-0.6495,0.3319,0.2109,0.5223
emb_hadamard_13,-17.6771,0.1729,-102.2107,0.0,-18.0161,-17.3381,0.0,0.0,0.0
emb_hadamard_14,15.9527,0.1846,86.4146,0.0,15.5909,16.3145,8475758.6813,5902568.9287,12170715.1736
emb_hadamard_15,26.7601,0.3116,85.8809,0.0,26.1494,27.3709,418581487180.0324,227273671588.2695,770922827027.9366
emb_hadamard_16,15.2415,0.5345,28.5181,0.0,14.194,16.289,4162119.7688,1460123.175,11864232.5984
emb_hadamard_17,-8.6521,0.1322,-65.4305,0.0,-8.9113,-8.393,0.0002,0.0001,0.0002
emb_hadamard_18,-10.7391,0.2176,-49.3553,0.0,-11.1656,-10.3126,0.0,0.0,0.0
emb_hadamard_19,-5.8594,0.2102,-27.8711,0.0,-6.2714,-5.4473,0.0029,0.0019,0.0043
emb_hadamard_20,9.9517,0.317,31.3975,0.0,9.3304,10.5729,20987.1681,11276.0989,39061.4898
emb_hadamard_21,20.2066,0.2589,78.0364,0.0,19.6991,20.7141,596495863.6993,359086446.4145,990868129.2853
emb_hadamard_22,-10.649,0.397,-26.8233,0.0,-11.4271,-9.8709,0.0,0.0,0.0001
emb_hadamard_23,12.1633,0.2807,43.3355,0.0,11.6132,12.7134,191627.1862,110546.2585,332177.4884
emb_hadamard_24,-2.4226,0.2647,-9.1511,0.0,-2.9414,-1.9037,0.0887,0.0528,0.149
