,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_0,-1.0092,0.6802,-1.4837,0.1379,-2.3424,0.324,0.3645,0.0961,1.3826
emb_hadamard_1,-0.6386,0.6194,-1.0309,0.3026,-1.8527,0.5755,0.528,0.1568,1.778
emb_hadamard_2,-22.2365,0.6267,-35.4791,0.0,-23.4649,-21.0081,0.0,0.0,0.0
emb_hadamard_3,-2.4661,0.9151,-2.6949,0.007,-4.2596,-0.6726,0.0849,0.0141,0.5104
emb_hadamard_4,-3.6882,1.1988,-3.0766,0.0021,-6.0378,-1.3386,0.025,0.0024,0.2622
emb_hadamard_5,-7.5257,0.5891,-12.7754,0.0,-8.6803,-6.3711,0.0005,0.0002,0.0017
emb_hadamard_6,-11.7629,0.8421,-13.9694,0.0,-13.4133,-10.1125,0.0,0.0,0.0
emb_hadamard_7,-1.3358,0.6957,-1.9202,0.0548,-2.6992,0.0277,0.2629,0.0673,1.028
emb_hadamard_8,-3.2697,0.8993,-3.6359,0.0003,-5.0322,-1.5071,0.038,0.0065,0.2215
emb_hadamard_9,-10.8563,0.985,-11.0218,0.0,-12.7869,-8.9258,0.0,0.0,0.0001
emb_hadamard_10,-2.1324,1.5759,-1.3531,0.176,-5.2212,0.9564,0.1186,0.0054,2.6023
emb_hadamard_11,6.4424,0.9421,6.8381,0.0,4.5959,8.289,627.9188,99.0734,3979.6973
emb_hadamard_12,9.808,0.7209,13.6054,0.0,8.3951,11.2209,18178.9432,4425.3382,74677.6773
emb_hadamard_13,13.3429,0.5591,23.8637,0.0,12.247,14.4388,623384.0456,208363.9927,1865042.3388
emb_hadamard_14,-12.1083,0.6043,-20.0378,0.0,-13.2926,-10.9239,0.0,0.0,0.0
emb_hadamard_15,-9.5922,0.9871,-9.7176,0.0,-11.5269,-7.6575,0.0001,0.0,0.0005
emb_hadamard_16,-10.8276,1.6502,-6.5612,0.0,-14.062,-7.5932,0.0,0.0,0.0005
emb_hadamard_17,10.7624,0.4146,25.9578,0.0,9.9498,11.575,47210.834,20947.124,106404.2416
emb_hadamard_18,15.1487,0.7219,20.9856,0.0,13.7339,16.5635,3793109.0306,921605.5012,15611534.5449
emb_hadamard_19,9.6924,0.6492,14.929,0.0,8.4199,10.9648,16193.5501,4536.4525,57805.3142
emb_hadamard_20,-11.8119,1.0148,-11.6394,0.0,-13.8009,-9.8228,0.0,0.0,0.0001
emb_hadamard_21,-25.761,0.8107,-31.7781,0.0,-27.3499,-24.1722,0.0,0.0,0.0
