,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_0,0.6192,0.0236,26.2812,0.0,0.5731,0.6654,1.8575,1.7737,1.9453
emb_hadamard_1,0.6271,0.0196,32.003,0.0,0.5887,0.6656,1.8723,1.8017,1.9456
emb_hadamard_2,1.7541,0.0254,69.0003,0.0,1.7042,1.8039,5.7781,5.4972,6.0733
emb_hadamard_3,0.2199,0.0153,14.3632,0.0,0.1899,0.2499,1.2459,1.2091,1.2839
emb_hadamard_4,0.8268,0.0161,51.4261,0.0,0.7953,0.8583,2.2859,2.215,2.3591
emb_hadamard_5,-0.7264,0.0315,-23.0959,0.0,-0.7881,-0.6648,0.4836,0.4547,0.5144
emb_hadamard_6,1.0242,0.0213,47.985,0.0,0.9823,1.066,2.7847,2.6706,2.9037
emb_hadamard_7,0.3126,0.0293,10.6772,0.0,0.2552,0.3699,1.3669,1.2907,1.4476
emb_hadamard_8,1.4183,0.0316,44.8274,0.0,1.3563,1.4803,4.13,3.8816,4.3942
emb_hadamard_9,0.9206,0.0214,42.9719,0.0,0.8786,0.9626,2.5107,2.4075,2.6184
emb_hadamard_10,0.5615,0.0237,23.7179,0.0,0.5151,0.6079,1.7533,1.6738,1.8366
emb_hadamard_11,1.1992,0.0305,39.3655,0.0,1.1395,1.259,3.3176,3.1253,3.5217
emb_hadamard_12,1.8263,0.0246,74.1671,0.0,1.778,1.8745,6.2107,5.9181,6.5178
emb_hadamard_13,1.7866,0.0243,73.5511,0.0,1.739,1.8342,5.9689,5.6914,6.2599
emb_hadamard_14,1.2533,0.0145,86.4631,0.0,1.2249,1.2817,3.502,3.4039,3.6029
emb_hadamard_15,1.5262,0.0217,70.1988,0.0,1.4836,1.5688,4.6008,4.4089,4.8011
emb_hadamard_16,0.4302,0.0178,24.1585,0.0,0.3953,0.4651,1.5376,1.4849,1.5922
emb_hadamard_17,1.8716,0.0303,61.8009,0.0,1.8122,1.9309,6.4986,6.1241,6.896
emb_hadamard_18,1.7214,0.0438,39.345,0.0,1.6356,1.8071,5.5923,5.1327,6.093
emb_hadamard_19,2.1875,0.0306,71.5498,0.0,2.1276,2.2474,8.9127,8.3943,9.463
emb_hadamard_20,0.3746,0.0198,18.8874,0.0,0.3358,0.4135,1.4545,1.399,1.5121
emb_hadamard_21,0.6906,0.0185,37.4039,0.0,0.6544,0.7268,1.9949,1.924,2.0684
emb_hadamard_22,0.8848,0.0188,46.9491,0.0,0.8479,0.9217,2.4225,2.3347,2.5137
emb_hadamard_23,0.393,0.0286,13.7452,0.0,0.337,0.4491,1.4814,1.4007,1.5668
emb_hadamard_24,-1.3443,0.0217,-61.8675,0.0,-1.3868,-1.3017,0.2607,0.2499,0.2721
emb_hadamard_25,1.2958,0.0229,56.6821,0.0,1.251,1.3406,3.654,3.4939,3.8215
emb_hadamard_26,0.3718,0.0239,15.5294,0.0,0.3249,0.4187,1.4503,1.3838,1.52
emb_hadamard_27,-0.6621,0.0227,-29.1254,0.0,-0.7066,-0.6175,0.5158,0.4933,0.5393
emb_hadamard_28,0.6852,0.0301,22.7824,0.0,0.6263,0.7442,1.9843,1.8707,2.1047
