,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_0,-0.7091,0.0748,-9.4853,0.0,-0.8556,-0.5626,0.4921,0.425,0.5697
emb_hadamard_1,1.0605,0.0619,17.1413,0.0,0.9392,1.1817,2.8877,2.5579,3.2599
emb_hadamard_2,0.5712,0.0806,7.0862,0.0,0.4132,0.7292,1.7704,1.5116,2.0733
emb_hadamard_3,0.5283,0.0498,10.5994,0.0,0.4306,0.626,1.696,1.5382,1.8701
emb_hadamard_4,0.1522,0.053,2.8738,0.0041,0.0484,0.256,1.1644,1.0496,1.2917
emb_hadamard_5,1.381,0.1016,13.5901,0.0,1.1818,1.5801,3.9787,3.2603,4.8556
emb_hadamard_6,0.301,0.0679,4.4325,0.0,0.1679,0.4341,1.3512,1.1828,1.5436
emb_hadamard_7,1.649,0.0916,17.9942,0.0,1.4694,1.8286,5.2016,4.3465,6.2251
emb_hadamard_8,-1.6677,0.1028,-16.216,0.0,-1.8693,-1.4661,0.1887,0.1542,0.2308
emb_hadamard_9,-0.6819,0.0703,-9.6945,0.0,-0.8198,-0.5441,0.5056,0.4405,0.5804
emb_hadamard_10,-0.516,0.0763,-6.7591,0.0,-0.6656,-0.3664,0.5969,0.514,0.6933
emb_hadamard_11,0.2356,0.0997,2.3625,0.0181,0.0401,0.4311,1.2657,1.041,1.5389
emb_hadamard_12,0.447,0.0765,5.845,0.0,0.2971,0.5969,1.5636,1.346,1.8165
emb_hadamard_13,1.9157,0.0779,24.6064,0.0,1.7631,2.0683,6.7919,5.8307,7.9116
emb_hadamard_14,-1.1662,0.0455,-25.6512,0.0,-1.2553,-1.0771,0.3115,0.285,0.3406
emb_hadamard_15,-0.2708,0.068,-3.9817,0.0001,-0.4042,-0.1375,0.7627,0.6675,0.8715
emb_hadamard_16,-1.7035,0.0551,-30.9091,0.0,-1.8115,-1.5955,0.182,0.1634,0.2028
emb_hadamard_17,2.4565,0.0982,25.0033,0.0,2.2639,2.649,11.6637,9.6208,14.1405
emb_hadamard_18,0.4669,0.1413,3.3036,0.001,0.1899,0.7438,1.595,1.2091,2.104
emb_hadamard_19,0.3041,0.0958,3.1728,0.0015,0.1162,0.4919,1.3553,1.1233,1.6354
emb_hadamard_20,1.1492,0.0643,17.8746,0.0,1.0232,1.2753,3.1558,2.7822,3.5796
emb_hadamard_21,0.7152,0.0633,11.3016,0.0,0.5911,0.8392,2.0445,1.806,2.3145
emb_hadamard_22,-0.7604,0.0641,-11.8686,0.0,-0.8859,-0.6348,0.4675,0.4123,0.53
emb_hadamard_23,-0.0275,0.0936,-0.2944,0.7684,-0.2109,0.1558,0.9728,0.8099,1.1686
emb_hadamard_24,0.1451,0.0687,2.1123,0.0347,0.0105,0.2797,1.1561,1.0105,1.3227
emb_hadamard_25,-0.9598,0.0751,-12.7765,0.0,-1.107,-0.8125,0.383,0.3306,0.4437
emb_hadamard_26,0.6674,0.0784,8.5104,0.0,0.5137,0.8212,1.9493,1.6715,2.2731
emb_hadamard_27,0.9372,0.0758,12.3645,0.0,0.7886,1.0857,2.5528,2.2004,2.9616
emb_hadamard_28,-0.2231,0.0962,-2.3194,0.0204,-0.4116,-0.0346,0.8,0.6626,0.966
emb_hadamard_29,-1.8403,0.0444,-41.4833,0.0,-1.9272,-1.7533,0.1588,0.1456,0.1732
emb_hadamard_30,1.3756,0.0597,23.0449,0.0,1.2586,1.4925,3.9573,3.5204,4.4484
emb_hadamard_31,1.5765,0.0574,27.4574,0.0,1.4639,1.689,4.8379,4.323,5.4141
emb_hadamard_32,-1.3097,0.0773,-16.9334,0.0,-1.4613,-1.1581,0.2699,0.2319,0.3141
emb_hadamard_33,3.3041,0.0853,38.7516,0.0,3.137,3.4712,27.2244,23.0346,32.1762
emb_hadamard_34,-0.584,0.0584,-9.9956,0.0,-0.6986,-0.4695,0.5576,0.4973,0.6253
emb_hadamard_35,-0.8329,0.0833,-9.9998,0.0,-0.9962,-0.6697,0.4348,0.3693,0.5119
emb_hadamard_36,0.0595,0.0484,1.2299,0.2187,-0.0353,0.1544,1.0613,0.9653,1.167
emb_hadamard_37,-0.0645,0.0571,-1.1301,0.2584,-0.1764,0.0474,0.9375,0.8383,1.0485
emb_hadamard_38,-1.2222,0.0807,-15.1474,0.0,-1.3804,-1.0641,0.2946,0.2515,0.345
emb_hadamard_39,0.6075,0.0461,13.1812,0.0,0.5172,0.6979,1.8359,1.6773,2.0095
emb_hadamard_40,-3.0833,0.066,-46.7411,0.0,-3.2126,-2.954,0.0458,0.0403,0.0521
emb_hadamard_41,0.2136,0.0839,2.5476,0.0108,0.0493,0.378,1.2382,1.0505,1.4594
emb_hadamard_42,0.0649,0.0916,0.7085,0.4787,-0.1147,0.2445,1.0671,0.8917,1.277
emb_hadamard_43,0.6509,0.0687,9.479,0.0,0.5163,0.7855,1.9173,1.6759,2.1936
emb_hadamard_44,0.6444,0.1125,5.7277,0.0,0.4239,0.8649,1.9049,1.5279,2.3749
emb_hadamard_45,-1.8475,0.0831,-22.2451,0.0,-2.0102,-1.6847,0.1576,0.134,0.1855
emb_hadamard_46,1.588,0.1236,12.8492,0.0,1.3458,1.8302,4.8939,3.8411,6.2352
emb_hadamard_47,-0.7894,0.0962,-8.2098,0.0,-0.9779,-0.6009,0.4541,0.3761,0.5483
emb_hadamard_48,1.7939,0.0823,21.8041,0.0,1.6327,1.9552,6.0129,5.1175,7.0651
emb_hadamard_49,-2.8352,0.0559,-50.6817,0.0,-2.9449,-2.7256,0.0587,0.0526,0.0655
emb_hadamard_50,-1.8846,0.0551,-34.1766,0.0,-1.9927,-1.7766,0.1519,0.1363,0.1692
emb_hadamard_51,0.8853,0.0644,13.7415,0.0,0.759,1.0115,2.4236,2.1361,2.7498
emb_hadamard_52,-1.8115,0.0557,-32.5189,0.0,-1.9207,-1.7023,0.1634,0.1465,0.1823
emb_hadamard_53,-0.2093,0.0635,-3.2983,0.001,-0.3337,-0.0849,0.8111,0.7163,0.9186
emb_hadamard_54,1.4554,0.0793,18.3439,0.0,1.2999,1.6109,4.286,3.6688,5.0071
emb_hadamard_55,-3.3087,0.0575,-57.5255,0.0,-3.4214,-3.1959,0.0366,0.0327,0.0409
emb_hadamard_56,-1.0975,0.0757,-14.5015,0.0,-1.2459,-0.9492,0.3337,0.2877,0.387
emb_hadamard_57,-0.8853,0.0426,-20.7951,0.0,-0.9687,-0.8019,0.4126,0.3796,0.4485
emb_hadamard_58,0.211,0.0576,3.6614,0.0003,0.0981,0.324,1.235,1.103,1.3827
emb_hadamard_59,0.4887,0.0855,5.7135,0.0,0.3211,0.6564,1.6302,1.3786,1.9278
emb_hadamard_60,-0.5639,0.0625,-9.0218,0.0,-0.6864,-0.4414,0.569,0.5034,0.6431
emb_hadamard_61,1.9151,0.1257,15.2352,0.0,1.6687,2.1615,6.7875,5.3054,8.6838
emb_hadamard_62,-0.8866,0.0782,-11.3344,0.0,-1.0399,-0.7333,0.4121,0.3535,0.4803
emb_hadamard_63,-0.248,0.0683,-3.6283,0.0003,-0.3819,-0.114,0.7804,0.6826,0.8922
emb_hadamard_64,-0.68,0.0745,-9.1222,0.0,-0.8261,-0.5339,0.5066,0.4378,0.5863
emb_hadamard_65,-1.3144,0.0756,-17.3774,0.0,-1.4626,-1.1661,0.2686,0.2316,0.3116
emb_hadamard_66,0.7832,0.0457,17.1203,0.0,0.6936,0.8729,2.1886,2.0009,2.3939
emb_hadamard_67,-0.8649,0.0477,-18.1354,0.0,-0.9584,-0.7715,0.4211,0.3835,0.4623
emb_hadamard_68,0.5745,0.0903,6.3599,0.0,0.3975,0.7516,1.7763,1.4881,2.1204
emb_hadamard_69,3.275,0.1124,29.1321,0.0,3.0546,3.4953,26.4426,21.2136,32.9606
emb_hadamard_70,-0.3588,0.0554,-6.4751,0.0,-0.4673,-0.2502,0.6985,0.6267,0.7787
emb_hadamard_71,1.5575,0.0823,18.9311,0.0,1.3963,1.7188,4.747,4.0401,5.5777
emb_hadamard_72,1.8204,0.0947,19.2252,0.0,1.6348,2.006,6.1746,5.1287,7.4337
emb_hadamard_73,2.7999,0.1378,20.315,0.0,2.5298,3.0701,16.4435,12.551,21.5433
emb_hadamard_74,0.7034,0.0897,7.8438,0.0,0.5277,0.8792,2.0207,1.695,2.409
emb_hadamard_75,3.0264,0.1214,24.9206,0.0,2.7883,3.2644,20.6221,16.2541,26.164
emb_hadamard_76,-1.0048,0.049,-20.4867,0.0,-1.101,-0.9087,0.3661,0.3325,0.403
emb_hadamard_77,0.1822,0.0808,2.2541,0.0242,0.0238,0.3407,1.1999,1.0241,1.4059
emb_hadamard_78,-2.2019,0.0456,-48.3268,0.0,-2.2912,-2.1126,0.1106,0.1011,0.1209
emb_hadamard_79,1.2566,0.0501,25.076,0.0,1.1584,1.3548,3.5135,3.1848,3.8761
emb_hadamard_80,1.2273,0.0764,16.0736,0.0,1.0776,1.3769,3.412,2.9377,3.9628
emb_hadamard_81,-0.4384,0.1099,-3.9898,0.0001,-0.6538,-0.2231,0.645,0.5201,0.8001
emb_hadamard_82,-1.0414,0.0894,-11.6509,0.0,-1.2165,-0.8662,0.353,0.2963,0.4206
emb_hadamard_83,4.0599,0.0754,53.8807,0.0,3.9123,4.2076,57.971,50.0118,67.1969
emb_hadamard_84,0.3948,0.0672,5.8763,0.0,0.2632,0.5265,1.4842,1.301,1.6931
emb_hadamard_85,2.5708,0.1128,22.782,0.0,2.3496,2.792,13.0765,10.4819,16.3134
emb_hadamard_86,1.7478,0.0846,20.6523,0.0,1.5819,1.9137,5.7419,4.8643,6.7779
emb_hadamard_87,1.3788,0.1281,10.7612,0.0,1.1277,1.63,3.9702,3.0885,5.1036
emb_hadamard_88,1.0031,0.1106,9.0684,0.0,0.7863,1.2199,2.7267,2.1953,3.3869
emb_hadamard_89,1.4232,0.0827,17.2111,0.0,1.2611,1.5853,4.1505,3.5295,4.8807
emb_hadamard_90,-0.9119,0.0522,-17.4794,0.0,-1.0142,-0.8097,0.4018,0.3627,0.445
emb_hadamard_91,0.7203,0.0639,11.2744,0.0,0.5951,0.8455,2.055,1.8131,2.3291
emb_hadamard_92,0.9604,0.0501,19.1514,0.0,0.8621,1.0587,2.6127,2.3682,2.8826
emb_hadamard_93,-0.584,0.0573,-10.1995,0.0,-0.6963,-0.4718,0.5576,0.4984,0.6239
emb_hadamard_94,2.04,0.0792,25.7706,0.0,1.8849,2.1952,7.6907,6.5854,8.9814
emb_hadamard_95,-1.1021,0.043,-25.6071,0.0,-1.1865,-1.0178,0.3322,0.3053,0.3614
emb_hadamard_96,1.324,0.1048,12.6281,0.0,1.1185,1.5295,3.7583,3.0602,4.6157
emb_hadamard_97,1.0889,0.1151,9.4577,0.0,0.8633,1.3146,2.9711,2.3709,3.7232
emb_hadamard_98,1.495,0.0963,15.5232,0.0,1.3063,1.6838,4.4594,3.6923,5.3859
emb_hadamard_99,-0.5348,0.0641,-8.3445,0.0,-0.6605,-0.4092,0.5858,0.5166,0.6642
emb_hadamard_100,0.1276,0.0833,1.5318,0.1256,-0.0357,0.2908,1.1361,0.965,1.3375
emb_hadamard_101,-1.7231,0.0504,-34.1829,0.0,-1.8219,-1.6243,0.1785,0.1617,0.197
emb_hadamard_102,-1.101,0.0809,-13.6026,0.0,-1.2596,-0.9423,0.3325,0.2838,0.3897
emb_hadamard_103,1.1092,0.0708,15.6718,0.0,0.9705,1.2479,3.0319,2.6392,3.4831
emb_hadamard_104,0.8455,0.0809,10.4534,0.0,0.6869,1.004,2.329,1.9876,2.7291
emb_hadamard_105,-0.2581,0.091,-2.8352,0.0046,-0.4365,-0.0797,0.7725,0.6463,0.9234
emb_hadamard_106,0.3304,0.0935,3.5327,0.0004,0.1471,0.5137,1.3915,1.1585,1.6715
emb_hadamard_107,2.927,0.0792,36.9692,0.0,2.7718,3.0821,18.6707,15.987,21.8048
emb_hadamard_108,0.4639,0.11,4.2178,0.0,0.2483,0.6795,1.5903,1.2819,1.9729
emb_hadamard_109,-0.787,0.0698,-11.2679,0.0,-0.9239,-0.6501,0.4552,0.397,0.522
emb_hadamard_110,-0.3266,0.0825,-3.961,0.0001,-0.4882,-0.165,0.7214,0.6137,0.8479
emb_hadamard_111,3.7757,0.1351,27.9523,0.0,3.5109,4.0404,43.6263,33.479,56.8492
emb_hadamard_112,1.62,0.0874,18.5348,0.0,1.4487,1.7913,5.0529,4.2574,5.997
emb_hadamard_113,0.3183,0.0836,3.8095,0.0001,0.1545,0.482,1.3748,1.1671,1.6194
emb_hadamard_114,-1.0361,0.0901,-11.5047,0.0,-1.2126,-0.8596,0.3548,0.2974,0.4233
emb_hadamard_115,0.0739,0.0692,1.0681,0.2855,-0.0617,0.2096,1.0767,0.9401,1.2332
emb_hadamard_116,-0.4924,0.0976,-5.0461,0.0,-0.6836,-0.3011,0.6112,0.5048,0.74
emb_hadamard_117,-0.4178,0.0424,-9.8457,0.0,-0.501,-0.3346,0.6585,0.6059,0.7156
emb_hadamard_118,-1.001,0.0672,-14.8859,0.0,-1.1328,-0.8692,0.3675,0.3221,0.4193
emb_hadamard_119,2.6178,0.0786,33.2855,0.0,2.4636,2.7719,13.7054,11.7476,15.9896
emb_hadamard_120,0.6479,0.0621,10.4392,0.0,0.5262,0.7695,1.9115,1.6926,2.1587
emb_hadamard_121,1.2452,0.1111,11.2063,0.0,1.0274,1.4629,3.4735,2.7937,4.3186
emb_hadamard_122,-1.5229,0.0701,-21.7274,0.0,-1.6603,-1.3855,0.2181,0.1901,0.2502
emb_hadamard_123,-0.9997,0.0515,-19.4122,0.0,-1.1006,-0.8987,0.368,0.3327,0.4071
emb_hadamard_124,1.1642,0.084,13.8665,0.0,0.9996,1.3288,3.2033,2.7173,3.7763
emb_hadamard_125,-0.9473,0.0612,-15.4893,0.0,-1.0672,-0.8275,0.3878,0.344,0.4372
emb_hadamard_126,-0.8644,0.052,-16.623,0.0,-0.9664,-0.7625,0.4213,0.3805,0.4665
emb_hadamard_127,1.3019,0.0818,15.9089,0.0,1.1415,1.4622,3.6761,3.1314,4.3156
