,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_0,13.7449,0.2232,61.5729,0.0,13.3074,14.1824,931842.4359,601628.8331,1443299.0533
emb_hadamard_1,-2.5742,0.3709,-6.941,0.0,-3.301,-1.8473,0.0762,0.0368,0.1577
emb_hadamard_2,9.7584,0.3566,27.3628,0.0,9.0594,10.4574,17298.4305,8598.9189,34799.2231
emb_hadamard_3,-0.1913,0.3197,-0.5984,0.5496,-0.818,0.4353,0.8258,0.4413,1.5455
emb_hadamard_4,5.5467,0.4286,12.9427,0.0,4.7067,6.3867,256.3877,110.6896,593.8644
emb_hadamard_5,-0.254,0.7634,-0.3328,0.7393,-1.7503,1.2422,0.7757,0.1737,3.4633
emb_hadamard_6,3.2409,0.519,6.244,0.0,2.2236,4.2581,25.5555,9.2402,70.6787
emb_hadamard_7,4.3203,0.1988,21.7294,0.0,3.9306,4.71,75.2122,50.9389,111.0522
emb_hadamard_8,5.9073,0.2289,25.8046,0.0,5.4586,6.356,367.7228,234.7789,575.9463
emb_hadamard_9,3.7449,0.3487,10.7405,0.0,3.0615,4.4283,42.3049,21.36,83.7877
emb_hadamard_10,4.0184,0.3734,10.7609,0.0,3.2865,4.7503,55.613,26.7493,115.6218
emb_hadamard_11,10.7738,0.3441,31.3083,0.0,10.0994,11.4483,47753.9864,24327.3001,93740.0867
emb_hadamard_12,-4.6748,0.2294,-20.3825,0.0,-5.1243,-4.2253,0.0093,0.006,0.0146
emb_hadamard_13,11.9229,0.1729,68.9696,0.0,11.5841,12.2618,150684.356,107378.8642,211454.7895
emb_hadamard_14,-7.1909,0.3107,-23.1462,0.0,-7.7998,-6.582,0.0008,0.0004,0.0014
emb_hadamard_15,7.6498,0.5139,14.8858,0.0,6.6425,8.657,2100.1418,767.0439,5750.1215
emb_hadamard_16,17.5329,0.2812,62.3547,0.0,16.9818,18.084,41154843.7962,23718147.2598,71410348.7655
emb_hadamard_17,14.1516,0.2753,51.3983,0.0,13.612,14.6913,1399503.2032,815849.8761,2400698.0614
emb_hadamard_18,-0.2852,0.3519,-0.8105,0.4177,-0.975,0.4045,0.7518,0.3772,1.4986
emb_hadamard_19,-7.5854,0.3743,-20.2668,0.0,-8.319,-6.8518,0.0005,0.0002,0.0011
emb_hadamard_20,8.9957,0.8388,10.7239,0.0,7.3516,10.6398,8068.0491,1558.6257,41763.3402
emb_hadamard_21,3.6117,0.7264,4.9723,0.0,2.188,5.0353,37.0279,8.9177,153.7465
emb_hadamard_22,-0.2044,0.416,-0.4913,0.6232,-1.0198,0.611,0.8151,0.3607,1.8423
emb_hadamard_23,11.7797,0.2119,55.5825,0.0,11.3643,12.195,130570.7199,86188.5357,197807.1997
emb_hadamard_24,13.4656,0.1959,68.7306,0.0,13.0816,13.8495,704717.4755,480008.9962,1034619.6094
emb_hadamard_25,-20.2412,0.3655,-55.3797,0.0,-20.9576,-19.5249,0.0,0.0,0.0
emb_hadamard_26,-0.6851,0.3869,-1.7707,0.0766,-1.4433,0.0732,0.5041,0.2361,1.076
emb_hadamard_27,5.0749,0.3582,14.1685,0.0,4.3728,5.7769,159.9487,79.2682,322.747
emb_hadamard_28,-26.2307,0.1297,-202.2347,0.0,-26.4849,-25.9765,0.0,0.0,0.0
emb_hadamard_29,9.7876,0.216,45.3177,0.0,9.3643,10.2109,17811.7189,11664.4786,27198.5865
emb_hadamard_30,13.1556,0.2775,47.4153,0.0,12.6118,13.6994,516915.4198,300088.2686,890409.8533
emb_hadamard_31,2.4929,0.3392,7.35,0.0,1.8281,3.1577,12.0963,6.2223,23.5156
emb_hadamard_32,-1.9552,0.2899,-6.7438,0.0,-2.5234,-1.3869,0.1415,0.0802,0.2498
emb_hadamard_33,-7.8954,0.1794,-44.0119,0.0,-8.247,-7.5438,0.0004,0.0003,0.0005
emb_hadamard_34,-21.1013,0.1612,-130.917,0.0,-21.4172,-20.7854,0.0,0.0,0.0
emb_hadamard_35,4.8628,0.211,23.0481,0.0,4.4493,5.2763,129.3885,85.5666,195.6533
emb_hadamard_36,5.0183,0.3023,16.6019,0.0,4.4259,5.6108,151.1581,83.5863,273.3557
emb_hadamard_37,-5.2247,0.3403,-15.3553,0.0,-5.8916,-4.5578,0.0054,0.0028,0.0105
emb_hadamard_38,-14.5254,0.3063,-47.4156,0.0,-15.1258,-13.925,0.0,0.0,0.0
emb_hadamard_39,-7.738,0.2011,-38.4794,0.0,-8.1321,-7.3438,0.0004,0.0003,0.0006
emb_hadamard_40,-2.3514,0.227,-10.3568,0.0,-2.7964,-1.9064,0.0952,0.061,0.1486
emb_hadamard_41,14.4779,0.261,55.4784,0.0,13.9664,14.9894,1939427.6428,1162894.1881,3234498.5643
emb_hadamard_42,1.5844,0.2726,5.8124,0.0,1.0501,2.1186,4.8763,2.858,8.3199
emb_hadamard_43,-1.4704,0.4174,-3.5228,0.0004,-2.2885,-0.6523,0.2298,0.1014,0.5208
emb_hadamard_44,6.9504,0.4323,16.0776,0.0,6.1031,7.7977,1043.5755,447.2463,2435.0114
emb_hadamard_45,17.181,0.2349,73.1531,0.0,16.7206,17.6413,28946462.7824,18267527.7511,45868150.2514
emb_hadamard_46,2.2665,0.213,10.6396,0.0,1.849,2.684,9.6455,6.3533,14.6437
emb_hadamard_47,-6.6046,0.2929,-22.5509,0.0,-7.1786,-6.0306,0.0014,0.0008,0.0024
emb_hadamard_48,-0.3294,0.2918,-1.1288,0.259,-0.9014,0.2425,0.7193,0.406,1.2745
emb_hadamard_49,-27.8377,0.194,-143.5227,0.0,-28.2179,-27.4575,0.0,0.0,0.0
emb_hadamard_50,-2.9573,0.2287,-12.9332,0.0,-3.4055,-2.5092,0.052,0.0332,0.0813
emb_hadamard_51,21.8616,0.3447,63.4277,0.0,21.1861,22.5372,3121685383.1457,1588565831.8669,6134413466.4494
emb_hadamard_52,11.0903,0.2666,41.6005,0.0,10.5678,11.6128,65534.9549,38864.1976,110508.6578
emb_hadamard_53,-11.7504,0.4811,-24.4254,0.0,-12.6933,-10.8075,0.0,0.0,0.0
emb_hadamard_54,8.4168,0.4036,20.852,0.0,7.6256,9.2079,4522.2738,2050.1021,9975.5814
emb_hadamard_55,-2.1308,0.2265,-9.4074,0.0,-2.5748,-1.6869,0.1187,0.0762,0.1851
