,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_0,-21.2977,0.6727,-31.6582,0.0,-22.6162,-19.9792,0.0,0.0,0.0
emb_hadamard_1,0.9148,0.9326,0.9809,0.3266,-0.9131,2.7427,2.4963,0.4013,15.529
emb_hadamard_2,4.9315,1.0877,4.534,0.0,2.7997,7.0632,138.5833,16.4398,1168.2195
emb_hadamard_3,17.2766,0.881,19.6096,0.0,15.5498,19.0034,31851727.9168,5664996.6094,179087939.7184
emb_hadamard_4,-4.0982,1.216,-3.3701,0.0008,-6.4816,-1.7148,0.0166,0.0015,0.18
emb_hadamard_5,3.3452,2.1668,1.5439,0.1226,-0.9015,7.592,28.3671,0.4059,1982.2841
emb_hadamard_6,-5.6804,1.4264,-3.9823,0.0001,-8.476,-2.8847,0.0034,0.0002,0.0559
emb_hadamard_7,1.2379,0.5926,2.0888,0.0367,0.0764,2.3994,3.4484,1.0794,11.0169
emb_hadamard_8,3.5623,0.6758,5.2713,0.0,2.2377,4.8868,35.2424,9.3721,132.5235
emb_hadamard_9,4.7255,0.9403,5.0257,0.0,2.8826,6.5684,112.7849,17.8607,712.2019
emb_hadamard_10,-7.3021,1.0088,-7.2386,0.0,-9.2793,-5.3249,0.0007,0.0001,0.0049
emb_hadamard_11,-6.5952,1.0519,-6.2698,0.0,-8.6569,-4.5335,0.0014,0.0002,0.0107
emb_hadamard_12,16.4589,0.6018,27.3488,0.0,15.2793,17.6384,14060540.2011,4322513.2976,45737000.0123
emb_hadamard_13,-10.4878,0.5335,-19.6595,0.0,-11.5334,-9.4422,0.0,0.0,0.0001
emb_hadamard_14,-6.2717,0.8374,-7.4895,0.0,-7.913,-4.6305,0.0019,0.0004,0.0098
emb_hadamard_15,-9.2993,1.4917,-6.2341,0.0,-12.223,-6.3757,0.0001,0.0,0.0017
emb_hadamard_16,-8.3781,0.8184,-10.2373,0.0,-9.9821,-6.774,0.0002,0.0,0.0011
emb_hadamard_17,-4.7856,0.7445,-6.4283,0.0,-6.2447,-3.3265,0.0083,0.0019,0.0359
emb_hadamard_18,9.5536,1.0167,9.397,0.0,7.561,11.5463,14095.7111,1921.7504,103389.6357
emb_hadamard_19,0.1634,1.1631,0.1405,0.8883,-2.1163,2.443,1.1775,0.1205,11.5077
emb_hadamard_20,-9.5776,2.4973,-3.8352,0.0001,-14.4723,-4.683,0.0001,0.0,0.0093
emb_hadamard_21,1.3241,2.1244,0.6233,0.5331,-2.8398,5.4879,3.7587,0.0584,241.743
emb_hadamard_22,7.0813,1.2113,5.8462,0.0,4.7073,9.4553,1189.5112,110.7504,12775.9069
emb_hadamard_23,-13.484,0.6619,-20.3703,0.0,-14.7814,-12.1867,0.0,0.0,0.0
emb_hadamard_24,-10.3499,0.5808,-17.8197,0.0,-11.4883,-9.2116,0.0,0.0,0.0001
emb_hadamard_25,13.8699,1.0543,13.1553,0.0,11.8035,15.9363,1055905.3966,133717.5631,8337993.7608
emb_hadamard_26,-3.4514,1.0674,-3.2336,0.0012,-5.5434,-1.3594,0.0317,0.0039,0.2568
emb_hadamard_27,-1.2612,0.9756,-1.2928,0.1961,-3.1733,0.6509,0.2833,0.0419,1.9173
emb_hadamard_28,19.2725,0.3451,55.8487,0.0,18.5962,19.9489,234397611.7016,119183685.0434,460987930.9519
emb_hadamard_29,-9.4841,0.6595,-14.3815,0.0,-10.7767,-8.1916,0.0001,0.0,0.0003
emb_hadamard_30,-16.0697,0.8317,-19.3212,0.0,-17.6999,-14.4396,0.0,0.0,0.0
emb_hadamard_31,6.8036,1.0246,6.6404,0.0,4.7955,8.8117,901.0817,120.9618,6712.4337
emb_hadamard_32,4.0188,0.8373,4.7998,0.0,2.3778,5.6599,55.637,10.7808,287.1283
emb_hadamard_33,16.873,0.4903,34.4123,0.0,15.912,17.834,21274147.1708,8137511.7679,55617656.9392
emb_hadamard_34,18.1143,0.4858,37.2888,0.0,17.1622,19.0664,73609590.5817,28407639.4768,190736433.065
