,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_0,2.3447,0.0278,84.4497,0.0,2.2903,2.3991,10.43,9.8776,11.0133
emb_hadamard_1,0.5065,0.0294,17.2267,0.0,0.4489,0.5641,1.6595,1.5666,1.7579
emb_hadamard_2,0.6263,0.011,56.8232,0.0,0.6047,0.6479,1.8707,1.8307,1.9116
emb_hadamard_3,0.6032,0.0236,25.5951,0.0,0.557,0.6494,1.8279,1.7454,1.9143
emb_hadamard_4,-0.0427,0.0279,-1.5282,0.1265,-0.0974,0.0121,0.9582,0.9072,1.0121
emb_hadamard_5,-0.2233,0.0305,-7.3333,0.0,-0.283,-0.1636,0.7999,0.7535,0.8491
emb_hadamard_6,0.3834,0.0307,12.5002,0.0,0.3232,0.4435,1.4672,1.3816,1.5581
emb_hadamard_7,0.3557,0.0179,19.8796,0.0,0.3206,0.3908,1.4272,1.378,1.4781
emb_hadamard_8,1.2817,0.0305,42.0112,0.0,1.2219,1.3415,3.6028,3.3937,3.8248
emb_hadamard_9,0.8642,0.0262,32.9839,0.0,0.8128,0.9155,2.373,2.2542,2.4981
emb_hadamard_10,0.5703,0.0139,41.1426,0.0,0.5431,0.5974,1.7687,1.7213,1.8174
emb_hadamard_11,2.0745,0.0294,70.4967,0.0,2.0168,2.1321,7.9603,7.5142,8.4329
emb_hadamard_12,0.641,0.0213,30.1584,0.0,0.5993,0.6826,1.8984,1.8209,1.9791
emb_hadamard_13,0.8266,0.0354,23.3627,0.0,0.7572,0.8959,2.2855,2.1324,2.4496
emb_hadamard_14,1.0163,0.0208,48.9561,0.0,0.9756,1.057,2.763,2.6528,2.8777
emb_hadamard_15,0.4986,0.024,20.7966,0.0,0.4516,0.5456,1.6464,1.5709,1.7256
emb_hadamard_16,0.1599,0.0234,6.8427,0.0,0.1141,0.2057,1.1734,1.1209,1.2284
emb_hadamard_17,1.4857,0.0255,58.1815,0.0,1.4357,1.5358,4.4182,4.2026,4.645
emb_hadamard_18,-0.5747,0.0381,-15.0809,0.0,-0.6493,-0.5,0.5629,0.5224,0.6065
emb_hadamard_19,2.8106,0.023,122.147,0.0,2.7655,2.8557,16.6195,15.8867,17.3862
emb_hadamard_20,0.9894,0.0261,37.8867,0.0,0.9382,1.0406,2.6896,2.5554,2.8309
emb_hadamard_21,0.2929,0.0255,11.5017,0.0,0.243,0.3428,1.3403,1.2751,1.4089
emb_hadamard_22,0.8388,0.0219,38.357,0.0,0.7959,0.8816,2.3136,2.2165,2.4149
emb_hadamard_23,0.3735,0.0203,18.3651,0.0,0.3336,0.4134,1.4528,1.3961,1.5119
emb_hadamard_24,1.4268,0.0213,66.8294,0.0,1.3849,1.4686,4.1653,3.9946,4.3433
emb_hadamard_25,0.8486,0.0287,29.5241,0.0,0.7922,0.9049,2.3363,2.2083,2.4716
emb_hadamard_26,1.1173,0.0259,43.0991,0.0,1.0665,1.1681,3.0565,2.9051,3.2159
emb_hadamard_27,0.7962,0.0396,20.1097,0.0,0.7186,0.8738,2.217,2.0515,2.3959
