,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_0,-0.4668,0.0781,-5.9768,0.0,-0.6198,-0.3137,0.627,0.538,0.7307
emb_hadamard_1,0.671,0.0856,7.8383,0.0,0.5032,0.8388,1.9562,1.654,2.3135
emb_hadamard_2,-1.0528,0.0295,-35.7397,0.0,-1.1105,-0.9951,0.349,0.3294,0.3697
emb_hadamard_3,1.3687,0.0696,19.6763,0.0,1.2323,1.505,3.9301,3.4292,4.5041
emb_hadamard_4,1.5277,0.0801,19.0781,0.0,1.3708,1.6847,4.6076,3.9383,5.3906
emb_hadamard_5,3.4224,0.087,39.3548,0.0,3.252,3.5929,30.6438,25.8416,36.3385
emb_hadamard_6,1.8553,0.0919,20.1937,0.0,1.6752,2.0353,6.3934,5.3398,7.6548
emb_hadamard_7,0.8278,0.0562,14.7191,0.0,0.7176,0.938,2.2883,2.0495,2.5549
emb_hadamard_8,-1.5359,0.092,-16.6921,0.0,-1.7162,-1.3555,0.2153,0.1797,0.2578
emb_hadamard_9,0.4211,0.0768,5.4843,0.0,0.2706,0.5716,1.5237,1.3108,1.7712
emb_hadamard_10,-1.0254,0.038,-26.9869,0.0,-1.0999,-0.9509,0.3587,0.3329,0.3864
emb_hadamard_11,-1.0696,0.0881,-12.1368,0.0,-1.2423,-0.8969,0.3431,0.2887,0.4078
emb_hadamard_12,-0.0514,0.0652,-0.7881,0.4306,-0.1792,0.0764,0.9499,0.8359,1.0794
emb_hadamard_13,0.2964,0.1013,2.9246,0.0034,0.0978,0.495,1.345,1.1027,1.6405
emb_hadamard_14,-0.5388,0.0534,-10.0838,0.0,-0.6435,-0.434,0.5835,0.5255,0.6479
emb_hadamard_15,0.1598,0.0668,2.3916,0.0168,0.0288,0.2908,1.1733,1.0293,1.3375
emb_hadamard_16,1.1413,0.0682,16.7397,0.0,1.0076,1.2749,3.1307,2.7391,3.5783
emb_hadamard_17,0.8277,0.0767,10.7858,0.0,0.6773,0.9781,2.2881,1.9686,2.6595
emb_hadamard_18,0.6324,0.1031,6.1345,0.0,0.4303,0.8344,1.882,1.5378,2.3034
emb_hadamard_19,-2.3238,0.062,-37.4931,0.0,-2.4453,-2.2023,0.0979,0.0867,0.1105
emb_hadamard_20,1.8941,0.077,24.5996,0.0,1.7432,2.0451,6.6469,5.7158,7.7296
emb_hadamard_21,-1.8201,0.069,-26.3882,0.0,-1.9553,-1.6849,0.162,0.1415,0.1855
emb_hadamard_22,1.3078,0.0705,18.5513,0.0,1.1696,1.4459,3.6979,3.2207,4.2458
emb_hadamard_23,0.6734,0.0662,10.1777,0.0,0.5437,0.8031,1.9609,1.7224,2.2325
emb_hadamard_24,-1.1456,0.0635,-18.0376,0.0,-1.2701,-1.0212,0.318,0.2808,0.3602
emb_hadamard_25,1.5656,0.0862,18.1573,0.0,1.3966,1.7345,4.7853,4.0413,5.6663
emb_hadamard_26,0.6621,0.0733,9.0291,0.0,0.5184,0.8058,1.9388,1.6793,2.2385
emb_hadamard_27,0.9606,0.1079,8.9038,0.0,0.7491,1.172,2.6132,2.1151,3.2285
emb_hadamard_28,-0.5114,0.066,-7.7439,0.0,-0.6408,-0.3819,0.5997,0.5269,0.6825
emb_hadamard_29,-0.7264,0.0794,-9.1533,0.0,-0.882,-0.5709,0.4836,0.414,0.565
