,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_w-l2_0,-1.1047,0.0989,-11.1675,5.879128758450296e-29,-1.2986,-0.9108,0.3313,0.2729,0.4022
emb_w-l2_1,-1.3055,0.087,-15.0122,6.104216387529511e-51,-1.4759,-1.135,0.271,0.2286,0.3214
emb_w-l2_2,-0.781,0.1125,-6.9418,3.870840286887581e-12,-1.0015,-0.5605,0.4579,0.3673,0.5709
emb_w-l2_3,-1.3103,0.1114,-11.7576,6.453208955679447e-32,-1.5287,-1.0919,0.2697,0.2168,0.3356
emb_w-l2_4,-1.2936,0.099,-13.066,5.151590118835453e-39,-1.4876,-1.0996,0.2743,0.2259,0.333
emb_w-l2_5,-0.7044,0.1191,-5.9134,3.3518247779555895e-09,-0.9379,-0.4709,0.4944,0.3915,0.6244
emb_w-l2_6,-0.7064,0.1206,-5.8583,4.675259531055265e-09,-0.9428,-0.4701,0.4934,0.3895,0.6249
emb_w-l2_7,0.1806,0.1297,1.3927,0.16370815677231854,-0.0736,0.4348,1.1979,0.9291,1.5446
emb_w-l2_8,-1.4194,0.1127,-12.5996,2.121193334842573e-36,-1.6401,-1.1986,0.2419,0.194,0.3016
emb_w-l2_9,-0.5715,0.1137,-5.026,5.007051216108958e-07,-0.7944,-0.3487,0.5647,0.4518,0.7056
emb_w-l2_10,-1.3762,0.0899,-15.3154,6.031607278878693e-53,-1.5523,-1.2001,0.2525,0.2118,0.3012
emb_w-l2_11,-1.2892,0.094,-13.7205,7.64895708387936e-43,-1.4733,-1.105,0.2755,0.2292,0.3312
emb_w-l2_12,-1.4066,0.1017,-13.835,1.5668307332861778e-43,-1.6058,-1.2073,0.245,0.2007,0.299
emb_w-l2_13,-0.2774,0.1093,-2.5373,0.01117127094474621,-0.4917,-0.0631,0.7577,0.6116,0.9388
emb_w-l2_14,-1.1199,0.0922,-12.1485,5.839997184784033e-34,-1.3006,-0.9392,0.3263,0.2724,0.3909
emb_w-l2_15,-0.5535,0.122,-4.5384,5.6694780845823405e-06,-0.7925,-0.3144,0.5749,0.4527,0.7302
emb_w-l2_16,-1.0319,0.1161,-8.8869,6.284062652623272e-19,-1.2595,-0.8043,0.3563,0.2838,0.4474
emb_w-l2_17,-1.2848,0.0933,-13.7754,3.585132992528192e-43,-1.4676,-1.102,0.2767,0.2305,0.3322
emb_w-l2_18,-1.6311,0.0826,-19.7368,1.0417542065528754e-86,-1.7931,-1.4691,0.1957,0.1665,0.2301
emb_w-l2_19,-1.4401,0.1012,-14.2252,6.390451000732095e-46,-1.6385,-1.2417,0.2369,0.1943,0.2889
emb_w-l2_20,-0.5438,0.1085,-5.0121,5.385249120709232e-07,-0.7564,-0.3311,0.5806,0.4693,0.7181
emb_w-l2_21,-0.5527,0.1065,-5.1912,2.0890096589794077e-07,-0.7613,-0.344,0.5754,0.4671,0.7089
emb_w-l2_22,-0.8743,0.1147,-7.6197,2.5426368885721516e-14,-1.0992,-0.6494,0.4172,0.3332,0.5224
emb_w-l2_23,-1.0811,0.0971,-11.1378,8.210492107492727e-29,-1.2713,-0.8908,0.3392,0.2805,0.4103
emb_w-l2_24,-1.0453,0.115,-9.0914,9.775978298779114e-20,-1.2706,-0.8199,0.3516,0.2807,0.4405
emb_w-l2_25,-1.3176,0.1077,-12.2302,2.1430195277131717e-34,-1.5288,-1.1065,0.2678,0.2168,0.3307
emb_w-l2_26,-1.7857,0.0903,-19.7851,4.001334676446786e-87,-1.9626,-1.6088,0.1677,0.1405,0.2001
emb_w-l2_27,-0.1175,0.1265,-0.9289,0.3529379040134194,-0.3655,0.1305,0.8891,0.6938,1.1394
emb_w-l2_28,-0.4079,0.1261,-3.2335,0.0012229169912963312,-0.6551,-0.1607,0.665,0.5194,0.8516
emb_w-l2_29,-1.3531,0.0971,-13.93,4.1651626207174873e-44,-1.5434,-1.1627,0.2584,0.2136,0.3126
emb_w-l2_30,-0.742,0.1134,-6.5433,6.017940530253837e-11,-0.9643,-0.5198,0.4762,0.3813,0.5947
emb_w-l2_31,-1.2812,0.1102,-11.6229,3.151419932041884e-31,-1.4972,-1.0651,0.2777,0.2237,0.3447
emb_w-l2_32,-1.0716,0.116,-9.2412,2.438559382894931e-20,-1.2989,-0.8444,0.3424,0.2728,0.4298
emb_w-l2_33,-1.0845,0.0898,-12.0775,1.3895551497609689e-33,-1.2605,-0.9085,0.3381,0.2835,0.4031
emb_w-l2_34,-1.1454,0.1026,-11.1644,6.086691925372274e-29,-1.3465,-0.9443,0.3181,0.2602,0.3889
emb_w-l2_35,-1.5898,0.0832,-19.1097,2.097019526169368e-81,-1.7529,-1.4268,0.204,0.1733,0.2401
emb_w-l2_36,-0.8759,0.1035,-8.4665,2.5291182336348882e-17,-1.0787,-0.6731,0.4165,0.34,0.5101
emb_w-l2_37,-1.0081,0.0905,-11.1344,8.535696389935837e-29,-1.1856,-0.8307,0.3649,0.3056,0.4358
emb_w-l2_38,-0.7491,0.1066,-7.0271,2.1083531909873957e-12,-0.9581,-0.5402,0.4728,0.3836,0.5826
emb_w-l2_39,-1.8728,0.1057,-17.7111,3.4454013873462477e-70,-2.0801,-1.6656,0.1537,0.1249,0.1891
emb_w-l2_40,-0.9566,0.1151,-8.3098,9.582946409025922e-17,-1.1822,-0.7309,0.3842,0.3066,0.4815
emb_w-l2_41,-1.0719,0.1035,-10.3618,3.698708512653422e-25,-1.2747,-0.8692,0.3423,0.2795,0.4193
emb_w-l2_42,-1.3624,0.1117,-12.197,3.2259980561655015e-34,-1.5814,-1.1435,0.256,0.2057,0.3187
emb_w-l2_43,-1.0345,0.0778,-13.2974,2.39661068305553e-40,-1.187,-0.882,0.3554,0.3051,0.4139
emb_w-l2_44,-1.109,0.0974,-11.3879,4.805656400179296e-30,-1.2998,-0.9181,0.3299,0.2726,0.3993
emb_w-l2_45,-0.9445,0.1126,-8.3864,5.010675491517869e-17,-1.1653,-0.7238,0.3889,0.3118,0.4849
emb_w-l2_46,-1.2227,0.0887,-13.7828,3.2366008906147558e-43,-1.3966,-1.0488,0.2944,0.2474,0.3504
emb_w-l2_47,-1.5184,0.0952,-15.9555,2.609080902454552e-57,-1.7049,-1.3319,0.2191,0.1818,0.264
emb_w-l2_48,-1.1051,0.0978,-11.2976,1.348100741265793e-29,-1.2968,-0.9134,0.3312,0.2734,0.4012
emb_w-l2_49,-1.5336,0.1005,-15.2584,1.4485250759717545e-52,-1.7306,-1.3366,0.2158,0.1772,0.2627
emb_w-l2_50,-1.0229,0.1123,-9.1063,8.527494188840526e-20,-1.2431,-0.8028,0.3595,0.2885,0.4481
emb_w-l2_51,-1.1559,0.0908,-12.7259,4.243978108078934e-37,-1.3339,-0.9778,0.3148,0.2635,0.3761
emb_w-l2_52,-1.0001,0.0999,-10.0076,1.4120341968437298e-23,-1.196,-0.8043,0.3678,0.3024,0.4474
emb_w-l2_53,-0.869,0.1173,-7.4074,1.2880334930214088e-13,-1.0989,-0.6391,0.4194,0.3332,0.5278
emb_w-l2_54,-0.6623,0.1146,-5.7778,7.568793925895473e-09,-0.887,-0.4377,0.5156,0.4119,0.6455
emb_w-l2_55,-0.555,0.1058,-5.2442,1.5698022929108828e-07,-0.7624,-0.3476,0.5741,0.4665,0.7064
emb_w-l2_56,-1.0881,0.0896,-12.1503,5.717317233258516e-34,-1.2637,-0.9126,0.3368,0.2826,0.4015
emb_w-l2_57,-1.0561,0.0797,-13.2462,4.743968246725582e-40,-1.2124,-0.8998,0.3478,0.2975,0.4066
emb_w-l2_58,-0.2618,0.1051,-2.4902,0.012768178812884867,-0.4679,-0.0557,0.7696,0.6263,0.9458
emb_w-l2_59,-0.2384,0.1294,-1.842,0.06547385907519535,-0.4921,0.0153,0.7879,0.6113,1.0154
emb_w-l2_60,-0.2069,0.1338,-1.5468,0.12192280480626216,-0.4691,0.0553,0.8131,0.6255,1.0568
emb_w-l2_61,-0.545,0.1163,-4.6863,2.782085482770356e-06,-0.773,-0.3171,0.5798,0.4616,0.7283
emb_w-l2_62,-0.9589,0.1068,-8.9795,2.719237546706721e-19,-1.1682,-0.7496,0.3833,0.3109,0.4725
emb_w-l2_63,-0.7426,0.1159,-6.4078,1.4761361915421464e-10,-0.9697,-0.5154,0.4759,0.3792,0.5972
emb_w-l2_64,-0.6874,0.1157,-5.9393,2.86239317077428e-09,-0.9143,-0.4606,0.5029,0.4008,0.6309
emb_w-l2_65,-0.4924,0.1153,-4.2695,1.958778827915037e-05,-0.7184,-0.2664,0.6112,0.4875,0.7662
