,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_avg_0,3.027,0.0106,285.359,0.0,3.0062,3.0478,20.636,20.2113,21.0695
emb_avg_1,2.5103,0.0106,236.6759,0.0,2.4895,2.531,12.3081,12.0549,12.5667
emb_avg_2,5.5729,0.0118,471.7233,0.0,5.5497,5.596,263.1831,257.1592,269.3481
emb_avg_3,-0.5069,0.0104,-48.858,0.0,-0.5273,-0.4866,0.6023,0.5902,0.6147
emb_avg_4,-2.6119,0.0117,-223.2481,0.0,-2.6348,-2.589,0.0734,0.0717,0.0751
emb_avg_5,3.838,0.0111,347.0408,0.0,3.8164,3.8597,46.4339,45.4382,47.4514
emb_avg_6,0.7552,0.0102,73.7794,0.0,0.7351,0.7752,2.128,2.0857,2.1711
emb_avg_7,3.6203,0.0111,326.8862,0.0,3.5986,3.642,37.3499,36.5478,38.1695
emb_avg_8,-5.2761,0.0114,-460.8374,0.0,-5.2985,-5.2536,0.0051,0.005,0.0052
emb_avg_9,-1.4217,0.0103,-137.9062,0.0,-1.4419,-1.4015,0.2413,0.2365,0.2462
emb_avg_10,-0.5324,0.0106,-50.2556,0.0,-0.5532,-0.5116,0.5872,0.5751,0.5995
emb_avg_11,1.4376,0.0105,136.3076,0.0,1.4169,1.4582,4.2104,4.1243,4.2983
emb_avg_12,6.5905,0.0122,538.0281,0.0,6.5665,6.6145,728.1594,710.8856,745.8528
emb_avg_13,2.1042,0.0099,213.3634,0.0,2.0849,2.1236,8.2007,8.0437,8.3608
emb_avg_14,3.865,0.0111,346.805,0.0,3.8431,3.8868,47.7017,46.671,48.7551
emb_avg_15,4.432,0.0114,389.3739,0.0,4.4097,4.4543,84.0965,82.2412,85.9937
emb_avg_16,1.1138,0.0104,107.2121,0.0,1.0934,1.1341,3.0458,2.9844,3.1084
emb_avg_17,-5.0888,0.0124,-411.4338,0.0,-5.1131,-5.0646,0.0062,0.006,0.0063
emb_avg_18,1.3887,0.0105,132.5132,0.0,1.3682,1.4093,4.0098,3.9283,4.093
emb_avg_19,2.4111,0.0109,220.742,0.0,2.3897,2.4325,11.1459,10.9098,11.3871
emb_avg_20,2.8048,0.0106,264.2946,0.0,2.784,2.8257,16.5246,16.1844,16.8719
emb_avg_21,-4.5728,0.0124,-369.027,0.0,-4.5971,-4.5485,0.0103,0.0101,0.0106
emb_avg_22,-0.215,0.0106,-20.1984,1.0116896627407102e-90,-0.2358,-0.1941,0.8066,0.7899,0.8236
emb_avg_23,-1.3085,0.0104,-125.7716,0.0,-1.3289,-1.2881,0.2702,0.2648,0.2758
emb_avg_24,2.6345,0.0109,241.789,0.0,2.6132,2.6559,13.9365,13.6421,14.2374
emb_avg_25,1.4382,0.0105,136.352,0.0,1.4175,1.4588,4.213,4.1268,4.301
emb_avg_26,-3.744,0.0117,-319.7361,0.0,-3.7669,-3.721,0.0237,0.0231,0.0242
emb_avg_27,2.8136,0.011,255.2714,0.0,2.792,2.8352,16.67,16.3137,17.034
emb_avg_28,7.3402,0.0135,542.9783,0.0,7.3137,7.3667,1541.0735,1500.7779,1582.4511
emb_avg_29,-3.7821,0.0105,-360.3784,0.0,-3.8027,-3.7616,0.0228,0.0223,0.0232
emb_avg_30,-4.1268,0.0115,-359.7601,0.0,-4.1492,-4.1043,0.0161,0.0158,0.0165
emb_avg_31,-2.8261,0.0106,-266.7264,0.0,-2.8469,-2.8053,0.0592,0.058,0.0605
emb_avg_32,-4.8391,0.0116,-417.7378,0.0,-4.8618,-4.8164,0.0079,0.0077,0.0081
emb_avg_33,-6.2048,0.0137,-454.1435,0.0,-6.2315,-6.178,0.002,0.002,0.0021
emb_avg_34,4.926,0.0106,464.8936,0.0,4.9053,4.9468,137.8322,134.9992,140.7246
emb_avg_35,-2.649,0.0106,-250.3942,0.0,-2.6698,-2.6283,0.0707,0.0693,0.0722
emb_avg_36,-1.4006,0.0103,-136.1599,0.0,-1.4207,-1.3804,0.2465,0.2415,0.2515
emb_avg_37,2.8416,0.0103,277.215,0.0,2.8215,2.8617,17.1433,16.8023,17.4912
emb_avg_38,-1.6559,0.0099,-167.5161,0.0,-1.6753,-1.6365,0.1909,0.1873,0.1947
emb_avg_39,0.4663,0.0102,45.7466,0.0,0.4463,0.4863,1.5941,1.5626,1.6263
emb_avg_40,-0.1758,0.0102,-17.2898,5.6117812593737504e-67,-0.1957,-0.1559,0.8388,0.8222,0.8557
emb_avg_41,-4.6341,0.0113,-411.0262,0.0,-4.6562,-4.612,0.0097,0.0095,0.0099
emb_avg_42,-2.9184,0.0106,-276.2708,0.0,-2.9391,-2.8977,0.054,0.0529,0.0552
emb_avg_43,3.2665,0.0111,293.4975,0.0,3.2447,3.2884,26.2207,25.6549,26.7989
emb_avg_44,0.2776,0.0102,27.247,1.8019730090834478e-163,0.2577,0.2976,1.32,1.2939,1.3466
emb_avg_45,-6.1644,0.0129,-479.4145,0.0,-6.1896,-6.1392,0.0021,0.0021,0.0022
emb_avg_46,-2.755,0.0106,-260.0511,0.0,-2.7757,-2.7342,0.0636,0.0623,0.0649
emb_avg_47,1.1612,0.0101,115.1489,0.0,1.1414,1.1809,3.1936,3.1311,3.2574
emb_avg_48,-0.6694,0.0102,-65.3595,0.0,-0.6895,-0.6494,0.512,0.5018,0.5224
emb_avg_49,-0.1618,0.0101,-15.9659,2.2086009435367515e-57,-0.1816,-0.1419,0.8506,0.8339,0.8677
emb_avg_50,0.3339,0.0102,32.6157,2.454809629083005e-233,0.3138,0.3539,1.3964,1.3686,1.4247
emb_avg_51,-3.7513,0.0113,-331.2403,0.0,-3.7735,-3.7291,0.0235,0.023,0.024
emb_avg_52,-8.3973,0.0135,-620.7358,0.0,-8.4238,-8.3708,0.0002,0.0002,0.0002
emb_avg_53,0.0904,0.0103,8.7643,1.880043938930259e-18,0.0702,0.1107,1.0947,1.0727,1.117
emb_avg_54,-1.1631,0.0103,-113.0286,0.0,-1.1833,-1.143,0.3125,0.3063,0.3189
emb_avg_55,-1.0413,0.0099,-105.0607,0.0,-1.0607,-1.0219,0.353,0.3462,0.3599
emb_avg_56,5.0605,0.0121,416.8187,0.0,5.0367,5.0843,157.6744,153.9668,161.4714
emb_avg_57,-0.3855,0.0104,-37.0917,3.824938404390416e-301,-0.4059,-0.3652,0.6801,0.6664,0.6941
emb_avg_58,1.38,0.0116,119.294,0.0,1.3573,1.4027,3.975,3.8859,4.0661
emb_avg_59,1.0611,0.0099,107.0108,0.0,1.0417,1.0805,2.8896,2.8339,2.9463
emb_avg_60,-0.2669,0.0105,-25.3051,2.80385444099887e-141,-0.2876,-0.2463,0.7657,0.7501,0.7817
emb_avg_61,1.443,0.0101,142.4781,0.0,1.4231,1.4628,4.2333,4.1501,4.3181
emb_avg_62,-5.2741,0.0113,-464.9995,0.0,-5.2963,-5.2518,0.0051,0.005,0.0052
emb_avg_63,-1.6587,0.0101,-163.51,0.0,-1.6785,-1.6388,0.1904,0.1866,0.1942
emb_avg_64,-5.9132,0.0119,-496.1784,0.0,-5.9365,-5.8898,0.0027,0.0026,0.0028
emb_avg_65,-3.2098,0.0113,-285.07,0.0,-3.2319,-3.1878,0.0404,0.0395,0.0413
emb_avg_66,-2.0286,0.0107,-190.102,0.0,-2.0495,-2.0077,0.1315,0.1288,0.1343
emb_avg_67,0.7865,0.0104,75.9014,0.0,0.7662,0.8068,2.1958,2.1516,2.2408
emb_avg_68,-1.4805,0.0103,-143.451,0.0,-1.5007,-1.4603,0.2275,0.223,0.2322
emb_avg_69,-3.8207,0.011,-346.4319,0.0,-3.8423,-3.7991,0.0219,0.0214,0.0224
emb_avg_70,-0.3034,0.0104,-29.1801,3.4715424375094455e-187,-0.3237,-0.283,0.7383,0.7234,0.7535
emb_avg_71,2.6822,0.0108,248.8931,0.0,2.6611,2.7033,14.6169,14.3114,14.9289
emb_avg_72,2.9674,0.0111,266.8092,0.0,2.9456,2.9892,19.4405,19.0213,19.8689
emb_avg_73,3.986,0.0116,344.5832,0.0,3.9633,4.0087,53.8382,52.6313,55.0728
emb_avg_74,-4.649,0.0117,-398.0732,0.0,-4.6719,-4.6261,0.0096,0.0094,0.0098
emb_avg_75,0.0885,0.0101,8.8009,1.3575875524822989e-18,0.0688,0.1082,1.0925,1.0712,1.1142
emb_avg_76,-3.2,0.0107,-298.5444,0.0,-3.221,-3.179,0.0408,0.0399,0.0416
emb_avg_77,1.5395,0.0101,152.4141,0.0,1.5197,1.5593,4.6621,4.5707,4.7553
emb_avg_78,1.6224,0.0104,155.3384,0.0,1.602,1.6429,5.0654,4.9627,5.1701
emb_avg_79,-6.1431,0.0128,-478.6176,0.0,-6.1683,-6.118,0.0021,0.0021,0.0022
emb_avg_80,4.1003,0.0118,348.827,0.0,4.0773,4.1233,60.3579,58.9832,61.7646
emb_avg_81,2.8572,0.0108,264.2535,0.0,2.836,2.8784,17.4124,17.0473,17.7853
emb_avg_82,-3.8001,0.0106,-360.1797,0.0,-3.8207,-3.7794,0.0224,0.0219,0.0228
emb_avg_83,-1.6449,0.0108,-151.9444,0.0,-1.6661,-1.6237,0.193,0.189,0.1972
emb_avg_84,-2.5736,0.0116,-221.8992,0.0,-2.5964,-2.5509,0.0763,0.0745,0.078
emb_avg_85,3.0153,0.0104,289.7199,0.0,2.9949,3.0357,20.3945,19.9827,20.8148
emb_avg_86,-0.5383,0.0104,-51.5143,0.0,-0.5588,-0.5178,0.5837,0.5719,0.5958
emb_avg_87,2.4193,0.0105,229.8938,0.0,2.3987,2.44,11.2385,11.0091,11.4728
emb_avg_88,-2.9263,0.0102,-287.746,0.0,-2.9462,-2.9064,0.0536,0.0525,0.0547
emb_avg_89,-6.6945,0.0132,-506.5452,0.0,-6.7204,-6.6686,0.0012,0.0012,0.0013
emb_avg_90,1.4089,0.0104,136.0806,0.0,1.3886,1.4292,4.0915,4.0093,4.1754
emb_avg_91,0.0331,0.0106,3.1322,0.0017347904936498863,0.0124,0.0539,1.0337,1.0125,1.0554
emb_avg_92,-1.7569,0.0107,-164.5513,0.0,-1.7779,-1.736,0.1726,0.169,0.1762
emb_avg_93,-0.719,0.0104,-69.3737,0.0,-0.7393,-0.6987,0.4872,0.4774,0.4972
emb_avg_94,0.9779,0.0102,95.6689,0.0,0.9578,0.9979,2.6588,2.606,2.7126
emb_avg_95,-4.6012,0.011,-418.1176,0.0,-4.6227,-4.5796,0.01,0.0098,0.0103
emb_avg_96,-4.2105,0.0114,-370.8576,0.0,-4.2327,-4.1882,0.0148,0.0145,0.0152
emb_avg_97,-5.3496,0.0123,-434.668,0.0,-5.3738,-5.3255,0.0047,0.0046,0.0049
emb_avg_98,-2.6786,0.011,-243.0264,0.0,-2.7002,-2.657,0.0687,0.0672,0.0702
emb_avg_99,-1.369,0.0104,-132.0849,0.0,-1.3893,-1.3487,0.2544,0.2492,0.2596
emb_avg_100,-1.3625,0.0103,-132.8112,0.0,-1.3826,-1.3423,0.256,0.2509,0.2612
emb_avg_101,6.5729,0.0136,483.9654,0.0,6.5463,6.5996,715.4677,696.6739,734.7686
emb_avg_102,-0.2374,0.0101,-23.5474,1.3333112202109385e-122,-0.2572,-0.2177,0.7887,0.7732,0.8044
emb_avg_103,-3.5455,0.0108,-326.9442,0.0,-3.5668,-3.5243,0.0289,0.0282,0.0295
emb_avg_104,7.0295,0.0142,495.9505,0.0,7.0017,7.0573,1129.4707,1098.5257,1161.2874
emb_avg_105,1.2244,0.0101,120.6518,0.0,1.2045,1.2443,3.402,3.335,3.4704
