,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_0,-0.6776,0.0303,-22.3574,1.0225550408169916e-110,-0.737,-0.6182,0.5078,0.4785,0.5389
emb_hadamard_1,1.9404,0.0246,78.9561,0.0,1.8923,1.9886,6.9619,6.6345,7.3054
emb_hadamard_2,-2.0198,0.0232,-87.1188,0.0,-2.0652,-1.9744,0.1327,0.1268,0.1388
emb_hadamard_3,1.6255,0.0293,55.5569,0.0,1.5682,1.6828,5.081,4.7978,5.3809
emb_hadamard_4,3.8893,0.029,134.0264,0.0,3.8324,3.9461,48.8742,46.1721,51.7345
emb_hadamard_5,-2.234,0.0243,-91.9699,0.0,-2.2816,-2.1864,0.1071,0.1021,0.1123
emb_hadamard_6,0.5036,0.037,13.627,2.768358615335595e-42,0.4311,0.576,1.6546,1.539,1.7789
emb_hadamard_7,1.0856,0.0283,38.3659,0.0,1.0301,1.141,2.9611,2.8014,3.1299
emb_hadamard_8,-5.133,0.031,-165.8365,0.0,-5.1936,-5.0723,0.0059,0.0056,0.0063
emb_hadamard_9,1.5877,0.0239,66.3835,0.0,1.5409,1.6346,4.8926,4.6686,5.1274
emb_hadamard_10,1.6154,0.0375,43.0565,0.0,1.5419,1.689,5.03,4.6734,5.4138
emb_hadamard_11,-0.9485,0.0332,-28.5916,8.543555968655914e-180,-1.0135,-0.8835,0.3873,0.3629,0.4133
emb_hadamard_12,-3.2857,0.0262,-125.3143,0.0,-3.3371,-3.2344,0.0374,0.0355,0.0394
emb_hadamard_13,0.0443,0.0291,1.5216,0.12810705894059377,-0.0128,0.1013,1.0453,0.9873,1.1066
emb_hadamard_14,-0.567,0.0274,-20.698,3.608615934068918e-95,-0.6207,-0.5133,0.5672,0.5376,0.5985
emb_hadamard_15,0.8233,0.0243,33.9421,1.5964780123455774e-252,0.7757,0.8708,2.2779,2.1722,2.3888
emb_hadamard_16,1.098,0.0376,29.2075,1.5596031663319355e-187,1.0244,1.1717,2.9983,2.7853,3.2275
emb_hadamard_17,1.3041,0.0245,53.3054,0.0,1.2562,1.3521,3.6844,3.5119,3.8654
emb_hadamard_18,1.691,0.0361,46.8502,0.0,1.6203,1.7618,5.425,5.0545,5.8226
emb_hadamard_19,1.3226,0.0265,49.879,0.0,1.2706,1.3745,3.753,3.563,3.9532
emb_hadamard_20,-0.9473,0.0338,-28.0483,4.1889740659787794e-173,-1.0135,-0.8811,0.3878,0.363,0.4143
emb_hadamard_21,1.3642,0.0218,62.6693,0.0,1.3216,1.4069,3.9128,3.7493,4.0833
emb_hadamard_22,2.2777,0.0482,47.2581,0.0,2.1833,2.3722,9.7546,8.8753,10.721
emb_hadamard_23,1.6058,0.0368,43.6917,0.0,1.5337,1.6778,4.9817,4.6354,5.3537
emb_hadamard_24,1.0907,0.0354,30.8152,1.641124276101656e-208,1.0213,1.1601,2.9764,2.7769,3.1902
emb_hadamard_25,0.114,0.0401,2.8393,0.004520952097668873,0.0353,0.1927,1.1207,1.0359,1.2125
emb_hadamard_26,0.3277,0.0336,9.7524,1.801284412064956e-22,0.2618,0.3935,1.3877,1.2993,1.4822
emb_hadamard_27,2.0098,0.029,69.3033,0.0,1.9529,2.0666,7.4615,7.0492,7.8979
emb_hadamard_28,-0.2617,0.0211,-12.3889,2.999986088066967e-35,-0.303,-0.2203,0.7698,0.7386,0.8023
emb_hadamard_29,-2.2603,0.027,-83.6882,0.0,-2.3133,-2.2074,0.1043,0.0989,0.11
emb_hadamard_30,-1.5644,0.0258,-60.7237,0.0,-1.6149,-1.5139,0.2092,0.1989,0.2201
emb_hadamard_31,-0.5517,0.0333,-16.5665,1.2177388240360037e-61,-0.6169,-0.4864,0.576,0.5396,0.6148
emb_hadamard_32,-0.9854,0.0227,-43.4884,0.0,-1.0298,-0.941,0.3733,0.3571,0.3902
emb_hadamard_33,0.5242,0.0222,23.5644,8.937310141526126e-123,0.4806,0.5678,1.6891,1.6171,1.7644
emb_hadamard_34,-5.3783,0.0256,-210.221,0.0,-5.4284,-5.3281,0.0046,0.0044,0.0049
emb_hadamard_35,-1.5639,0.0284,-55.0221,0.0,-1.6196,-1.5082,0.2093,0.198,0.2213
emb_hadamard_36,0.2502,0.0385,6.4905,8.553601527153244e-11,0.1746,0.3257,1.2842,1.1908,1.385
emb_hadamard_37,0.4235,0.0296,14.3302,1.4178775302174985e-46,0.3655,0.4814,1.5272,1.4413,1.6183
emb_hadamard_38,-0.1254,0.0241,-5.2054,1.936128016152713e-07,-0.1726,-0.0782,0.8822,0.8415,0.9248
emb_hadamard_39,1.7129,0.0337,50.8598,0.0,1.6468,1.7789,5.5447,5.1906,5.9231
emb_hadamard_40,-0.1428,0.0283,-5.0464,4.5015862305526274e-07,-0.1983,-0.0874,0.8669,0.8201,0.9163
emb_hadamard_41,-2.2326,0.0261,-85.3879,0.0,-2.2838,-2.1813,0.1073,0.1019,0.1129
emb_hadamard_42,-3.4749,0.0278,-125.1846,0.0,-3.5294,-3.4205,0.031,0.0293,0.0327
emb_hadamard_43,-1.151,0.033,-34.8683,2.2474951284778182e-266,-1.2157,-1.0863,0.3163,0.2965,0.3374
emb_hadamard_44,1.2826,0.0366,35.0288,8.209421947398384e-269,1.2108,1.3544,3.606,3.3563,3.8743
emb_hadamard_45,-0.3623,0.0255,-14.1949,9.856119432350377e-46,-0.4124,-0.3123,0.6961,0.6621,0.7318
emb_hadamard_46,1.9068,0.032,59.6593,0.0,1.8441,1.9694,6.7312,6.3225,7.1663
emb_hadamard_47,0.9319,0.0317,29.4144,3.594176628324691e-190,0.8698,0.994,2.5394,2.3865,2.7021
emb_hadamard_48,1.9245,0.0358,53.7426,0.0,1.8544,1.9947,6.852,6.3875,7.3502
emb_hadamard_49,0.9656,0.0289,33.4391,3.7103226144555786e-245,0.909,1.0222,2.6264,2.4819,2.7794
emb_hadamard_50,1.643,0.0335,49.0127,0.0,1.5773,1.7087,5.1706,4.8418,5.5217
emb_hadamard_51,1.5452,0.0286,53.9532,0.0,1.4891,1.6014,4.689,4.4331,4.9598
emb_hadamard_52,-2.3641,0.0207,-114.1309,0.0,-2.4047,-2.3235,0.094,0.0903,0.0979
emb_hadamard_53,1.1358,0.0308,36.932,1.4183287599935492e-298,1.0755,1.1961,3.1137,2.9316,3.3072
emb_hadamard_54,1.9606,0.0342,57.2556,0.0,1.8934,2.0277,7.1033,6.6422,7.5964
emb_hadamard_55,1.6106,0.0274,58.8522,0.0,1.557,1.6642,5.0059,4.7444,5.2817
emb_hadamard_56,1.1383,0.0212,53.6383,0.0,1.0967,1.1799,3.1215,2.9943,3.254
