,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_w-l2_0,-0.5982,0.0161,-37.0881,4.3676618516046525e-301,-0.6298,-0.5666,0.5498,0.5327,0.5675
emb_w-l2_1,-1.3154,0.0136,-96.4947,0.0,-1.3421,-1.2887,0.2684,0.2613,0.2756
emb_w-l2_2,-1.3847,0.0153,-90.5262,0.0,-1.4147,-1.3547,0.2504,0.243,0.258
emb_w-l2_3,-1.44,0.0146,-98.7447,0.0,-1.4686,-1.4114,0.2369,0.2302,0.2438
emb_w-l2_4,-1.1573,0.0169,-68.356,0.0,-1.1905,-1.1241,0.3143,0.3041,0.3249
emb_w-l2_5,-1.3344,0.0152,-87.7491,0.0,-1.3642,-1.3046,0.2633,0.2556,0.2713
emb_w-l2_6,-1.2065,0.0162,-74.5744,0.0,-1.2382,-1.1748,0.2992,0.2899,0.3089
emb_w-l2_7,-1.0045,0.0158,-63.4104,0.0,-1.0356,-0.9735,0.3662,0.355,0.3778
emb_w-l2_8,-0.6429,0.0178,-36.0368,2.2180111577249374e-284,-0.6779,-0.6079,0.5258,0.5077,0.5445
emb_w-l2_9,-1.0065,0.0134,-74.9736,0.0,-1.0328,-0.9802,0.3655,0.356,0.3752
emb_w-l2_10,-1.0963,0.0165,-66.2659,0.0,-1.1288,-1.0639,0.3341,0.3234,0.3451
emb_w-l2_11,-0.6692,0.017,-39.4501,0.0,-0.7025,-0.636,0.5121,0.4954,0.5294
emb_w-l2_12,-0.2333,0.0171,-13.6191,3.0843532157723724e-42,-0.2669,-0.1998,0.7919,0.7657,0.8189
emb_w-l2_13,-1.7498,0.0141,-123.7231,0.0,-1.7775,-1.7221,0.1738,0.1691,0.1787
emb_w-l2_14,-0.9829,0.0157,-62.4414,0.0,-1.0137,-0.952,0.3742,0.3629,0.386
emb_w-l2_15,-1.2863,0.0144,-89.5144,0.0,-1.3144,-1.2581,0.2763,0.2686,0.2842
emb_w-l2_16,-0.8997,0.0164,-54.7381,0.0,-0.9319,-0.8674,0.4067,0.3938,0.42
emb_w-l2_17,-1.1578,0.0169,-68.649,0.0,-1.1908,-1.1247,0.3142,0.304,0.3247
emb_w-l2_18,-0.6346,0.0166,-38.2679,0.0,-0.6671,-0.6021,0.5301,0.5132,0.5476
emb_w-l2_19,-0.8471,0.0152,-55.7072,0.0,-0.8769,-0.8173,0.4286,0.4161,0.4416
emb_w-l2_20,-0.8046,0.0164,-48.932,0.0,-0.8368,-0.7724,0.4473,0.4331,0.4619
emb_w-l2_21,-0.3143,0.016,-19.6768,3.410494698460716e-86,-0.3456,-0.283,0.7303,0.7078,0.7536
emb_w-l2_22,0.334,0.0193,17.2902,5.5716409515468515e-67,0.2962,0.3719,1.3966,1.3447,1.4505
emb_w-l2_23,-0.8431,0.0163,-51.8314,0.0,-0.875,-0.8112,0.4304,0.4169,0.4443
emb_w-l2_24,-1.2512,0.0166,-75.1719,0.0,-1.2838,-1.2185,0.2862,0.277,0.2957
emb_w-l2_25,-0.4177,0.0175,-23.892,3.712312328062377e-126,-0.452,-0.3835,0.6585,0.6364,0.6815
emb_w-l2_26,-0.564,0.0181,-31.2277,4.478361206855522e-214,-0.5994,-0.5286,0.5689,0.5491,0.5894
emb_w-l2_27,-1.1332,0.016,-70.6772,0.0,-1.1646,-1.1017,0.322,0.3121,0.3323
emb_w-l2_28,-1.5084,0.016,-94.2355,0.0,-1.5398,-1.4771,0.2213,0.2144,0.2283
emb_w-l2_29,-1.0989,0.0145,-75.7442,0.0,-1.1273,-1.0704,0.3333,0.3239,0.3429
emb_w-l2_30,-1.3849,0.0158,-87.8749,0.0,-1.4158,-1.354,0.2503,0.2427,0.2582
emb_w-l2_31,-0.7143,0.0163,-43.8488,0.0,-0.7462,-0.6823,0.4896,0.4742,0.5054
emb_w-l2_32,-0.6065,0.0147,-41.3778,0.0,-0.6352,-0.5778,0.5453,0.5298,0.5612
emb_w-l2_33,-0.378,0.0182,-20.8114,3.4099113052786383e-96,-0.4136,-0.3424,0.6852,0.6612,0.71
emb_w-l2_34,-1.0324,0.0149,-69.4043,0.0,-1.0616,-1.0033,0.3561,0.3459,0.3667
emb_w-l2_35,-1.3731,0.0155,-88.7245,0.0,-1.4035,-1.3428,0.2533,0.2457,0.2611
emb_w-l2_36,-1.2311,0.017,-72.2605,0.0,-1.2645,-1.1977,0.292,0.2824,0.3019
emb_w-l2_37,-1.3058,0.0149,-87.7158,0.0,-1.335,-1.2767,0.2709,0.2632,0.279
emb_w-l2_38,-1.0983,0.0134,-81.9966,0.0,-1.1245,-1.072,0.3335,0.3248,0.3423
emb_w-l2_39,-1.2074,0.0156,-77.264,0.0,-1.2381,-1.1768,0.299,0.2899,0.3083
emb_w-l2_40,-1.531,0.0139,-109.9026,0.0,-1.5583,-1.5037,0.2163,0.2105,0.2223
emb_w-l2_41,-0.7074,0.0155,-45.5813,0.0,-0.7378,-0.677,0.4929,0.4781,0.5081
emb_w-l2_42,-0.8077,0.0154,-52.4532,0.0,-0.8379,-0.7775,0.4459,0.4326,0.4595
emb_w-l2_43,-0.58,0.0179,-32.3546,1.1946727446171024e-229,-0.6152,-0.5449,0.5599,0.5406,0.5799
emb_w-l2_44,-0.9081,0.0163,-55.8476,0.0,-0.94,-0.8762,0.4033,0.3906,0.4163
emb_w-l2_45,-0.7091,0.0178,-39.7842,0.0,-0.744,-0.6741,0.4921,0.4752,0.5096
emb_w-l2_46,-0.6516,0.016,-40.6479,0.0,-0.683,-0.6202,0.5212,0.5051,0.5379
emb_w-l2_47,-1.5386,0.0149,-103.2758,0.0,-1.5678,-1.5094,0.2147,0.2085,0.221
emb_w-l2_48,-0.4979,0.0155,-32.0585,1.6729343698011777e-225,-0.5283,-0.4675,0.6078,0.5896,0.6266
emb_w-l2_49,-1.3209,0.0147,-89.7161,0.0,-1.3498,-1.2921,0.2669,0.2593,0.2747
emb_w-l2_50,-1.162,0.0158,-73.7704,0.0,-1.1929,-1.1311,0.3129,0.3034,0.3227
emb_w-l2_51,-0.5646,0.0162,-34.9105,5.152369933514501e-267,-0.5963,-0.5329,0.5686,0.5508,0.5869
emb_w-l2_52,-0.4326,0.0175,-24.7077,8.847195852314292e-135,-0.4669,-0.3983,0.6488,0.6269,0.6715
emb_w-l2_53,-0.4873,0.0152,-32.0506,2.156438084177986e-225,-0.5171,-0.4575,0.6143,0.5962,0.6328
emb_w-l2_54,-1.203,0.0162,-74.3888,0.0,-1.2347,-1.1713,0.3003,0.2909,0.31
emb_w-l2_55,-1.176,0.0141,-83.4498,0.0,-1.2037,-1.1484,0.3085,0.3001,0.3171
emb_w-l2_56,-0.7156,0.0156,-45.9773,0.0,-0.7461,-0.6851,0.4889,0.4742,0.504
emb_w-l2_57,-0.5884,0.0172,-34.1869,3.792107057421083e-256,-0.6221,-0.5547,0.5552,0.5368,0.5743
emb_w-l2_58,0.8437,0.0194,43.5541,0.0,0.8057,0.8816,2.3249,2.2382,2.4148
emb_w-l2_59,-1.2914,0.0143,-90.5128,0.0,-1.3194,-1.2634,0.2749,0.2673,0.2827
emb_w-l2_60,-0.3765,0.0162,-23.3068,3.7824563721698025e-120,-0.4082,-0.3448,0.6863,0.6649,0.7083
emb_w-l2_61,-1.1197,0.0147,-76.076,0.0,-1.1486,-1.0909,0.3264,0.3171,0.3359
emb_w-l2_62,-1.0765,0.0144,-74.761,0.0,-1.1047,-1.0483,0.3408,0.3313,0.3505
emb_w-l2_63,-1.058,0.0147,-71.9701,0.0,-1.0868,-1.0292,0.3471,0.3373,0.3573
emb_w-l2_64,-1.4366,0.0165,-87.2712,0.0,-1.4688,-1.4043,0.2377,0.2302,0.2455
emb_w-l2_65,-0.6984,0.0172,-40.713,0.0,-0.7321,-0.6648,0.4974,0.4809,0.5144
emb_w-l2_66,-1.1727,0.0154,-76.0451,0.0,-1.2029,-1.1425,0.3095,0.3003,0.319
emb_w-l2_67,-0.5639,0.0158,-35.6785,8.51091895837247e-279,-0.5949,-0.533,0.569,0.5516,0.5869
emb_w-l2_68,-0.411,0.0162,-25.3241,1.734172845381329e-141,-0.4429,-0.3792,0.663,0.6422,0.6844
emb_w-l2_69,-1.2459,0.0163,-76.2156,0.0,-1.278,-1.2139,0.2877,0.2786,0.297
emb_w-l2_70,-0.3164,0.0179,-17.6799,5.993888556143801e-70,-0.3515,-0.2814,0.7287,0.7036,0.7548
emb_w-l2_71,-1.4241,0.0146,-97.8409,0.0,-1.4526,-1.3955,0.2407,0.234,0.2477
emb_w-l2_72,-0.8701,0.0165,-52.786,0.0,-0.9024,-0.8378,0.4189,0.4056,0.4326
emb_w-l2_73,-1.1463,0.016,-71.7123,0.0,-1.1776,-1.115,0.3178,0.308,0.3279
emb_w-l2_74,-1.1784,0.0162,-72.6071,0.0,-1.2102,-1.1466,0.3078,0.2981,0.3177
emb_w-l2_75,-1.6149,0.0138,-117.0296,0.0,-1.642,-1.5879,0.1989,0.1936,0.2044
emb_w-l2_76,-0.3615,0.0174,-20.7806,6.489395634346297e-96,-0.3956,-0.3274,0.6966,0.6732,0.7208
emb_w-l2_77,-1.6197,0.0148,-109.6614,0.0,-1.6486,-1.5907,0.198,0.1923,0.2038
emb_w-l2_78,-0.9483,0.017,-55.9371,0.0,-0.9815,-0.9151,0.3874,0.3747,0.4005
emb_w-l2_79,-0.6269,0.0178,-35.184,3.5123627143045516e-271,-0.6618,-0.592,0.5343,0.5159,0.5532
emb_w-l2_80,-1.0994,0.0165,-66.7863,0.0,-1.1316,-1.0671,0.3331,0.3225,0.344
emb_w-l2_81,-0.8798,0.0168,-52.3632,0.0,-0.9127,-0.8469,0.4149,0.4014,0.4288
emb_w-l2_82,-0.2538,0.016,-15.8839,8.188374638386545e-57,-0.2851,-0.2225,0.7759,0.7519,0.8005
emb_w-l2_83,-0.973,0.0161,-60.3512,0.0,-1.0046,-0.9414,0.3779,0.3662,0.3901
emb_w-l2_84,-0.025,0.018,-1.3877,0.1652150509773036,-0.0604,0.0103,0.9753,0.9414,1.0104
emb_w-l2_85,-0.8094,0.015,-53.8178,0.0,-0.8388,-0.7799,0.4451,0.4322,0.4585
emb_w-l2_86,-0.8453,0.0166,-50.8511,0.0,-0.8779,-0.8127,0.4294,0.4157,0.4437
emb_w-l2_87,-1.1954,0.0162,-73.9551,0.0,-1.2271,-1.1637,0.3026,0.2932,0.3123
emb_w-l2_88,-0.8949,0.0146,-61.4618,0.0,-0.9234,-0.8663,0.4087,0.3972,0.4205
emb_w-l2_89,-0.7738,0.0175,-44.3391,0.0,-0.808,-0.7396,0.4613,0.4458,0.4773
emb_w-l2_90,-0.7855,0.0145,-54.0728,0.0,-0.8139,-0.757,0.4559,0.4431,0.4691
emb_w-l2_91,-0.2412,0.0177,-13.6252,2.8374062314061997e-42,-0.2759,-0.2065,0.7857,0.7589,0.8134
emb_w-l2_92,-1.5271,0.0153,-99.6772,0.0,-1.5571,-1.497,0.2172,0.2108,0.2238
emb_w-l2_93,-0.8851,0.0151,-58.6737,0.0,-0.9147,-0.8556,0.4127,0.4006,0.425
emb_w-l2_94,-1.1118,0.0159,-69.891,0.0,-1.1429,-1.0806,0.329,0.3189,0.3394
emb_w-l2_95,-1.0749,0.0146,-73.714,0.0,-1.1035,-1.0464,0.3413,0.3317,0.3512
emb_w-l2_96,-1.2839,0.0146,-88.1903,0.0,-1.3125,-1.2554,0.2769,0.2692,0.285
emb_w-l2_97,-1.0182,0.0168,-60.7084,0.0,-1.0511,-0.9854,0.3612,0.3496,0.3733
emb_w-l2_98,-0.6938,0.0151,-45.8362,0.0,-0.7235,-0.6642,0.4997,0.485,0.5147
emb_w-l2_99,-1.2276,0.0154,-79.8368,0.0,-1.2578,-1.1975,0.293,0.2843,0.3019
emb_w-l2_100,-1.4478,0.0149,-96.9679,0.0,-1.4771,-1.4186,0.2351,0.2283,0.2421
emb_w-l2_101,-0.5104,0.0185,-27.5848,1.6938684977644095e-167,-0.5466,-0.4741,0.6003,0.5789,0.6224
emb_w-l2_102,-1.6694,0.0129,-129.6791,0.0,-1.6946,-1.6441,0.1884,0.1837,0.1932
emb_w-l2_103,-0.7253,0.0165,-43.8946,0.0,-0.7577,-0.6929,0.4842,0.4687,0.5001
emb_w-l2_104,-0.414,0.0181,-22.8773,7.812309876566866e-116,-0.4495,-0.3785,0.661,0.638,0.6849
emb_w-l2_105,-1.6473,0.014,-117.3485,0.0,-1.6748,-1.6198,0.1926,0.1873,0.1979
emb_w-l2_106,-0.2229,0.0167,-13.3247,1.662105823615694e-40,-0.2557,-0.1901,0.8002,0.7744,0.8268
emb_w-l2_107,-1.3806,0.0158,-87.2095,0.0,-1.4117,-1.3496,0.2514,0.2437,0.2593
emb_w-l2_108,-0.6805,0.0151,-45.0609,0.0,-0.7101,-0.6509,0.5064,0.4916,0.5216
emb_w-l2_109,-1.4629,0.0137,-106.83,0.0,-1.4898,-1.4361,0.2316,0.2254,0.2379
emb_w-l2_110,-0.5471,0.0167,-32.6768,3.33744644366637e-234,-0.5799,-0.5142,0.5786,0.56,0.598
emb_w-l2_111,-1.7342,0.0136,-127.7074,0.0,-1.7608,-1.7076,0.1765,0.1719,0.1813
emb_w-l2_112,-1.3491,0.0139,-97.3532,0.0,-1.3763,-1.3219,0.2595,0.2525,0.2666
emb_w-l2_113,-1.3513,0.0138,-98.0058,0.0,-1.3783,-1.3242,0.2589,0.252,0.266
emb_w-l2_114,-0.966,0.0165,-58.5517,0.0,-0.9983,-0.9337,0.3806,0.3685,0.3931
emb_w-l2_115,-1.4717,0.0151,-97.3336,0.0,-1.5013,-1.4421,0.2295,0.2228,0.2364
emb_w-l2_116,-0.736,0.017,-43.3847,0.0,-0.7693,-0.7028,0.479,0.4634,0.4952
emb_w-l2_117,-0.9312,0.0165,-56.3677,0.0,-0.9636,-0.8988,0.3941,0.3815,0.407
emb_w-l2_118,-1.423,0.0166,-85.5292,0.0,-1.4556,-1.3904,0.241,0.2332,0.249
emb_w-l2_119,-0.1697,0.0183,-9.2695,1.8708261508649637e-20,-0.2055,-0.1338,0.8439,0.8142,0.8748
emb_w-l2_120,-0.8723,0.0146,-59.6156,0.0,-0.901,-0.8437,0.418,0.4062,0.4301
emb_w-l2_121,-0.5819,0.0166,-34.9884,3.3823359766576144e-268,-0.6145,-0.5493,0.5588,0.5409,0.5773
