,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_avg_0,2.6121,0.0102,254.895,0.0,2.592,2.6321,13.6271,13.3561,13.9036
emb_avg_1,2.3551,0.0103,229.5869,0.0,2.335,2.3752,10.5396,10.3298,10.7536
emb_avg_2,4.9738,0.0113,438.6767,0.0,4.9516,4.996,144.5732,141.3959,147.8219
emb_avg_3,-0.5725,0.0101,-56.9362,0.0,-0.5922,-0.5528,0.5641,0.5531,0.5753
emb_avg_4,-2.2052,0.0113,-195.624,0.0,-2.2273,-2.1831,0.1102,0.1078,0.1127
emb_avg_5,3.4713,0.0107,325.3394,0.0,3.4504,3.4922,32.1774,31.5115,32.8574
emb_avg_6,0.5938,0.0099,59.8732,0.0,0.5743,0.6132,1.8108,1.7759,1.8463
emb_avg_7,3.2519,0.0107,304.5746,0.0,3.231,3.2729,25.8406,25.3055,26.3871
emb_avg_8,-4.6048,0.011,-419.085,0.0,-4.6263,-4.5833,0.01,0.0098,0.0102
emb_avg_9,-1.3791,0.01,-138.1043,0.0,-1.3987,-1.3595,0.2518,0.2469,0.2568
emb_avg_10,-0.3834,0.0103,-37.3482,2.7130602989343463e-305,-0.4035,-0.3633,0.6815,0.668,0.6954
emb_avg_11,1.333,0.0102,130.3684,0.0,1.313,1.353,3.7924,3.7171,3.8691
emb_avg_12,6.0372,0.0118,512.5367,0.0,6.0141,6.0602,418.6991,409.1435,428.4777
emb_avg_13,1.8456,0.0095,193.2827,0.0,1.8269,1.8643,6.3321,6.2147,6.4517
emb_avg_14,3.4289,0.0107,319.2436,0.0,3.4079,3.45,30.8429,30.2004,31.499
emb_avg_15,4.0693,0.011,370.7329,0.0,4.0478,4.0908,58.5156,57.2702,59.7881
emb_avg_16,1.101,0.0101,109.4072,0.0,1.0813,1.1207,3.0071,2.9484,3.067
emb_avg_17,-4.5397,0.0119,-381.9912,0.0,-4.563,-4.5164,0.0107,0.0104,0.0109
emb_avg_18,1.2064,0.0102,118.8131,0.0,1.1865,1.2263,3.3413,3.2755,3.4085
emb_avg_19,2.0386,0.0105,193.3532,0.0,2.0179,2.0593,7.6799,7.5228,7.8402
emb_avg_20,2.5705,0.0103,250.1142,0.0,2.5504,2.5907,13.0728,12.8121,13.3388
emb_avg_21,-4.2117,0.0119,-352.4507,0.0,-4.2351,-4.1882,0.0148,0.0145,0.0152
emb_avg_22,-0.169,0.0103,-16.3822,2.5624349214245354e-60,-0.1892,-0.1487,0.8445,0.8276,0.8618
emb_avg_23,-1.3752,0.0101,-136.2807,0.0,-1.3949,-1.3554,0.2528,0.2478,0.2578
emb_avg_24,2.4556,0.0105,232.8791,0.0,2.4349,2.4762,11.6529,11.4145,11.8962
emb_avg_25,1.3415,0.0102,131.2277,0.0,1.3215,1.3615,3.8248,3.7489,3.9022
emb_avg_26,-3.3274,0.0113,-294.6924,0.0,-3.3495,-3.3052,0.0359,0.0351,0.0367
emb_avg_27,2.6304,0.0107,246.7691,0.0,2.6095,2.6513,13.8794,13.5924,14.1724
emb_avg_28,6.5257,0.0129,504.7675,0.0,6.5003,6.551,682.4383,665.3635,699.9513
emb_avg_29,-3.5039,0.0102,-345.1064,0.0,-3.5238,-3.484,0.0301,0.0295,0.0307
