,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_hadamard_0,-0.5148,0.0302,-17.025,5.355813634247702e-65,-0.574,-0.4555,0.5976,0.5633,0.6341
emb_hadamard_1,2.0437,0.0245,83.3449,0.0,1.9957,2.0918,7.7193,7.3571,8.0993
emb_hadamard_2,-1.8801,0.0231,-81.4119,0.0,-1.9254,-1.8349,0.1526,0.1458,0.1596
emb_hadamard_3,1.665,0.0292,56.9353,0.0,1.6077,1.7223,5.2857,4.9913,5.5975
emb_hadamard_4,4.0435,0.029,139.6234,0.0,3.9867,4.1002,57.0243,53.8777,60.3546
emb_hadamard_5,-2.2378,0.0243,-92.1681,0.0,-2.2854,-2.1902,0.1067,0.1017,0.1119
emb_hadamard_6,0.6781,0.0369,18.379,1.9351651253818517e-75,0.6058,0.7504,1.9701,1.8326,2.1178
emb_hadamard_7,1.1854,0.0283,41.9422,0.0,1.13,1.2408,3.2719,3.0956,3.4582
emb_hadamard_8,-4.8797,0.0307,-158.6928,0.0,-4.9399,-4.8194,0.0076,0.0072,0.0081
emb_hadamard_9,1.5455,0.0239,64.699,0.0,1.4987,1.5923,4.6904,4.4759,4.9153
emb_hadamard_10,1.7923,0.0374,47.8743,0.0,1.719,1.8657,6.0034,5.5787,6.4605
emb_hadamard_11,-0.906,0.0332,-27.326,2.0815150392347964e-164,-0.971,-0.841,0.4041,0.3787,0.4313
emb_hadamard_12,-3.3222,0.0262,-126.7969,0.0,-3.3736,-3.2709,0.0361,0.0343,0.038
emb_hadamard_13,0.0954,0.0291,3.2837,0.0010245194067421699,0.0385,0.1524,1.1001,1.0392,1.1646
emb_hadamard_14,-0.308,0.0272,-11.3301,9.305581566245632e-30,-0.3613,-0.2547,0.7349,0.6968,0.7751
emb_hadamard_15,0.9871,0.0242,40.8646,0.0,0.9398,1.0344,2.6835,2.5594,2.8136
emb_hadamard_16,1.1381,0.0376,30.2728,2.6181417975691998e-201,1.0644,1.2118,3.1208,2.8991,3.3594
