,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_w-l1_0,0.0061,0.0071,0.8682,0.38530445831880733,-0.0077,0.02,1.0062,0.9923,1.0202
emb_w-l1_1,-0.1026,0.0065,-15.7491,6.961875948938691e-56,-0.1154,-0.0898,0.9025,0.8911,0.9141
emb_w-l1_2,-0.5883,0.0069,-85.2681,0.0,-0.6018,-0.5748,0.5553,0.5478,0.5628
emb_w-l1_3,-0.3559,0.0067,-53.0318,0.0,-0.369,-0.3427,0.7006,0.6914,0.7098
emb_w-l1_4,-0.4079,0.0072,-56.4651,0.0,-0.4221,-0.3938,0.665,0.6557,0.6745
emb_w-l1_5,-0.5551,0.0069,-80.7759,0.0,-0.5686,-0.5416,0.574,0.5663,0.5818
emb_w-l1_6,-0.4968,0.0071,-70.3439,0.0,-0.5107,-0.483,0.6085,0.6001,0.6169
emb_w-l1_7,-0.3292,0.007,-47.0685,0.0,-0.3429,-0.3155,0.7195,0.7097,0.7294
emb_w-l1_8,-0.3012,0.0074,-40.4296,0.0,-0.3158,-0.2866,0.74,0.7292,0.7508
emb_w-l1_9,-0.0638,0.0065,-9.8068,1.0529836888941114e-22,-0.0765,-0.051,0.9382,0.9264,0.9503
emb_w-l1_10,-0.4823,0.0072,-67.4283,0.0,-0.4963,-0.4683,0.6174,0.6088,0.6261
emb_w-l1_11,-0.3256,0.0072,-44.9845,0.0,-0.3398,-0.3114,0.7221,0.7119,0.7324
emb_w-l1_12,0.0009,0.0073,0.1194,0.9049593752759113,-0.0134,0.0152,1.0009,0.9867,1.0153
emb_w-l1_13,-0.7548,0.0066,-114.1056,0.0,-0.7677,-0.7418,0.4701,0.4641,0.4762
emb_w-l1_14,-0.247,0.007,-35.4563,2.320719828217225e-275,-0.2607,-0.2334,0.7811,0.7705,0.7919
emb_w-l1_15,-0.3952,0.0067,-59.2277,0.0,-0.4083,-0.3821,0.6735,0.6648,0.6824
emb_w-l1_16,-0.3202,0.0071,-44.8054,0.0,-0.3342,-0.3062,0.726,0.7159,0.7362
emb_w-l1_17,-0.4595,0.0072,-63.6476,0.0,-0.4736,-0.4453,0.6316,0.6227,0.6406
emb_w-l1_18,-0.2476,0.0072,-34.4668,2.521603956663194e-260,-0.2617,-0.2335,0.7807,0.7698,0.7918
emb_w-l1_19,-0.0783,0.0069,-11.4033,4.025129682380257e-30,-0.0918,-0.0649,0.9247,0.9123,0.9372
emb_w-l1_20,-0.2849,0.0071,-39.8702,0.0,-0.2989,-0.2709,0.7521,0.7416,0.7627
emb_w-l1_21,0.2167,0.0071,30.518,1.5039360302173512e-204,0.2028,0.2306,1.242,1.2248,1.2594
emb_w-l1_22,0.0593,0.0077,7.6523,1.9748149286224507e-14,0.0441,0.0744,1.0611,1.0451,1.0773
emb_w-l1_23,-0.2709,0.0071,-38.4107,0.0,-0.2847,-0.2571,0.7627,0.7522,0.7733
emb_w-l1_24,-0.6486,0.0072,-90.2897,0.0,-0.6627,-0.6345,0.5228,0.5155,0.5302
emb_w-l1_25,-0.0449,0.0074,-6.0896,1.1316697565441726e-09,-0.0593,-0.0304,0.9561,0.9424,0.97
emb_w-l1_26,-0.0835,0.0075,-11.1702,5.705062364002902e-29,-0.0982,-0.0689,0.9199,0.9065,0.9335
emb_w-l1_27,-0.2586,0.007,-36.7523,1.0695253694755582e-295,-0.2724,-0.2448,0.7721,0.7615,0.7828
emb_w-l1_28,-0.7534,0.007,-107.2957,0.0,-0.7671,-0.7396,0.4708,0.4643,0.4773
emb_w-l1_29,-0.2673,0.0067,-39.7084,0.0,-0.2805,-0.2541,0.7655,0.7554,0.7756
emb_w-l1_30,-0.5282,0.007,-75.9722,0.0,-0.5418,-0.5146,0.5897,0.5817,0.5978
emb_w-l1_31,-0.1729,0.0071,-24.2814,3.0845777623807853e-130,-0.1868,-0.1589,0.8412,0.8296,0.8531
emb_w-l1_32,0.024,0.0068,3.5322,0.00041215143510128755,0.0107,0.0373,1.0243,1.0107,1.038
emb_w-l1_33,-0.039,0.0075,-5.2002,1.9906651782295446e-07,-0.0537,-0.0243,0.9617,0.9477,0.976
