,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_avg_0,3.8332,0.1218,31.4729,2.0384375749877275e-217,3.5944,4.0719,46.2082,36.3957,58.6663
emb_avg_1,-4.0988,0.1186,-34.5474,1.557580991993358e-261,-4.3313,-3.8662,0.0166,0.0132,0.0209
emb_avg_2,2.2246,0.1198,18.5702,5.601878317993863e-77,1.9898,2.4593,9.2494,7.3138,11.6971
emb_avg_3,0.4899,0.1106,4.4297,9.437102575461071e-06,0.2732,0.7067,1.6322,1.3141,2.0273
emb_avg_4,-3.1859,0.1191,-26.7601,9.426355633281339e-158,-3.4193,-2.9526,0.0413,0.0327,0.0522
emb_avg_5,-3.0366,0.1171,-25.9256,3.426726732503891e-148,-3.2661,-2.807,0.048,0.0382,0.0604
emb_avg_6,-1.7146,0.1141,-15.0326,4.4908941195526416e-51,-1.9382,-1.4911,0.18,0.144,0.2251
emb_avg_7,-4.4065,0.1284,-34.3129,5.0324907753304125e-258,-4.6582,-4.1548,0.0122,0.0095,0.0157
emb_avg_8,-2.4354,0.1209,-20.1371,3.495400097383227e-90,-2.6725,-2.1984,0.0876,0.0691,0.111
emb_avg_9,1.1345,0.1122,10.1129,4.841334242612138e-24,0.9146,1.3543,3.1095,2.4957,3.8741
emb_avg_10,2.423,0.1096,22.1116,2.446126485717846e-108,2.2082,2.6377,11.2791,9.0992,13.9814
emb_avg_11,-2.9117,0.1179,-24.7009,1.046373700344322e-134,-3.1427,-2.6807,0.0544,0.0432,0.0685
emb_avg_12,0.1543,0.1099,1.4044,0.16020725881988118,-0.061,0.3696,1.1668,0.9408,1.4472
emb_avg_13,3.0306,0.1165,26.0027,4.620226042820382e-149,2.8021,3.259,20.7087,16.4796,26.0231
emb_avg_14,-1.3572,0.1156,-11.7376,8.175116968198914e-32,-1.5839,-1.1306,0.2574,0.2052,0.3228
emb_avg_15,-5.7825,0.1332,-43.4166,0.0,-6.0435,-5.5214,0.0031,0.0024,0.004
emb_avg_16,-0.5902,0.1128,-5.2318,1.6788119417338254e-07,-0.8112,-0.3691,0.5542,0.4443,0.6914
emb_avg_17,-1.9055,0.1205,-15.8141,2.486797030171913e-56,-2.1417,-1.6694,0.1487,0.1175,0.1884
emb_avg_18,-3.2496,0.1234,-26.334,7.818579151921475e-153,-3.4915,-3.0077,0.0388,0.0305,0.0494
emb_avg_19,2.5355,0.1225,20.6967,3.7096755475457706e-95,2.2954,2.7756,12.6224,9.928,16.0479
emb_avg_20,1.9274,0.1148,16.7935,2.724822937375423e-63,1.7025,2.1524,6.8717,5.4875,8.6052
emb_avg_21,-0.7356,0.1152,-6.3835,1.73062870216301e-10,-0.9615,-0.5097,0.4792,0.3823,0.6007
emb_avg_22,-1.2752,0.1162,-10.9754,5.01876142434867e-28,-1.503,-1.0475,0.2794,0.2225,0.3508
emb_avg_23,-5.4539,0.1305,-41.7922,0.0,-5.7097,-5.1982,0.0043,0.0033,0.0055
emb_avg_24,-1.4408,0.114,-12.643,1.22352124412465e-36,-1.6641,-1.2174,0.2367,0.1894,0.296
emb_avg_25,7.5979,0.14,54.2767,0.0,7.3235,7.8722,1993.9677,1515.5259,2623.4506
emb_avg_26,3.1705,0.1265,25.0601,1.3541630197655378e-138,2.9225,3.4185,23.819,18.5881,30.5221
emb_avg_27,0.3487,0.1072,3.2519,0.001146449850381317,0.1385,0.5589,1.4173,1.1486,1.7488
emb_avg_28,-1.5132,0.1212,-12.483,9.238386688999924e-36,-1.7507,-1.2756,0.2202,0.1736,0.2793
emb_avg_29,-4.6596,0.1328,-35.0875,1.0462156902331309e-269,-4.9199,-4.3993,0.0095,0.0073,0.0123
emb_avg_30,1.3619,0.1179,11.5475,7.596268116213978e-31,1.1307,1.593,3.9035,3.0979,4.9185
emb_avg_31,-3.2975,0.1205,-27.3563,9.080200681497225e-165,-3.5338,-3.0613,0.037,0.0292,0.0468
emb_avg_32,1.891,0.1151,16.4305,1.1572683059344867e-60,1.6654,2.1166,6.626,5.2879,8.3027
emb_avg_33,3.4019,0.1274,26.693,5.678533425019251e-157,3.1521,3.6517,30.0217,23.3858,38.5405
emb_avg_34,-2.5307,0.1135,-22.3047,3.327111377433501e-110,-2.753,-2.3083,0.0796,0.0637,0.0994
emb_avg_35,6.1266,0.136,45.0485,0.0,5.86,6.3932,457.8747,350.7383,597.737
emb_avg_36,4.6525,0.1254,37.1071,2.1610762063172224e-301,4.4068,4.8983,104.8516,82.0069,134.0603
emb_avg_37,-1.7052,0.1172,-14.5534,5.555271892195978e-48,-1.9348,-1.4755,0.1817,0.1445,0.2287
emb_avg_38,-2.6944,0.115,-23.4303,2.1012988675431525e-121,-2.9198,-2.469,0.0676,0.0539,0.0847
emb_avg_39,5.0361,0.1305,38.597,0.0,4.7804,5.2919,153.875,119.1524,198.7161
emb_avg_40,2.7495,0.1175,23.4006,4.212092166472203e-121,2.5192,2.9798,15.6345,12.4185,19.6832
emb_avg_41,3.5668,0.112,31.8542,1.1505233248423654e-222,3.3473,3.7862,35.4022,28.4263,44.0901
emb_avg_42,0.545,0.1127,4.8369,1.3191073525140507e-06,0.3242,0.7659,1.7247,1.3829,2.1509
emb_avg_43,-1.3172,0.117,-11.2598,2.0730368393939167e-29,-1.5465,-1.0879,0.2679,0.213,0.3369
emb_avg_44,2.4471,0.1198,20.4286,9.306239997029313e-93,2.2123,2.6819,11.5549,9.1369,14.6126
emb_avg_45,3.6184,0.1248,28.9845,1.033079801547411e-184,3.3738,3.8631,37.2792,29.1879,47.6136
emb_avg_46,-0.3016,0.1185,-2.5461,0.010892066608770526,-0.5338,-0.0694,0.7396,0.5863,0.9329
emb_avg_47,0.5467,0.1124,4.864,1.1506589301086552e-06,0.3264,0.767,1.7275,1.386,2.1533
emb_avg_48,-3.4801,0.1196,-29.0994,3.6523335338912643e-186,-3.7145,-3.2457,0.0308,0.0244,0.0389
emb_avg_49,-4.3244,0.1191,-36.3046,1.3682584775173963e-288,-4.5579,-4.091,0.0132,0.0105,0.0167
emb_avg_50,7.6223,0.1449,52.5856,0.0,7.3382,7.9064,2043.192,1537.8987,2714.5049
emb_avg_51,-2.9461,0.1175,-25.066,1.1693155474011667e-138,-3.1765,-2.7157,0.0525,0.0417,0.0662
emb_avg_52,-3.2534,0.1193,-27.2685,1.0034220497834304e-163,-3.4873,-3.0196,0.0386,0.0306,0.0488
emb_avg_53,0.542,0.1101,4.9221,8.563872966401474e-07,0.3262,0.7578,1.7194,1.3856,2.1336
emb_avg_54,1.991,0.1138,17.4919,1.6513425242588874e-68,1.7679,2.2141,7.3232,5.8588,9.1535
emb_avg_55,-1.4318,0.1108,-12.9212,3.4168532649199227e-38,-1.6489,-1.2146,0.2389,0.1923,0.2968
emb_avg_56,-5.4151,0.1357,-39.9095,0.0,-5.6811,-5.1492,0.0044,0.0034,0.0058
emb_avg_57,-2.4321,0.1134,-21.4524,4.338578745347466e-102,-2.6543,-2.2099,0.0879,0.0703,0.1097
emb_avg_58,-3.8924,0.1229,-31.6834,2.631997572851649e-220,-4.1331,-3.6516,0.0204,0.016,0.026
