,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_avg_0,3.8362,0.1218,31.4997,8.768590669221816e-218,3.5975,4.0749,46.3473,36.5058,58.8419
emb_avg_1,-4.1002,0.1186,-34.5615,9.566385860370375e-262,-4.3327,-3.8677,0.0166,0.0131,0.0209
emb_avg_2,2.226,0.1198,18.5835,4.372915738537743e-77,1.9912,2.4608,9.2627,7.3245,11.7138
emb_avg_3,0.4911,0.1106,4.4404,8.978152231961924e-06,0.2744,0.7079,1.6342,1.3157,2.0298
emb_avg_4,-3.1884,0.1191,-26.7817,5.285500903693934e-158,-3.4218,-2.9551,0.0412,0.0327,0.0521
emb_avg_5,-3.0382,0.1171,-25.9401,2.3537922359019253e-148,-3.2677,-2.8086,0.0479,0.0381,0.0603
emb_avg_6,-1.7169,0.1141,-15.0528,3.307717601129821e-51,-1.9404,-1.4933,0.1796,0.1436,0.2246
emb_avg_7,-4.4079,0.1284,-34.3251,3.3195166636393167e-258,-4.6595,-4.1562,0.0122,0.0095,0.0157
emb_avg_8,-2.4356,0.1209,-20.1391,3.3548109406306322e-90,-2.6726,-2.1986,0.0875,0.0691,0.111
emb_avg_9,1.1328,0.1122,10.0991,5.5763559341595256e-24,0.9129,1.3526,3.1043,2.4916,3.8675
emb_avg_10,2.4226,0.1096,22.11,2.5326632726976207e-108,2.2078,2.6373,11.2749,9.0959,13.9758
emb_avg_11,-2.9126,0.1179,-24.7106,8.223761173681223e-135,-3.1436,-2.6816,0.0543,0.0431,0.0685
emb_avg_12,0.1527,0.1099,1.3896,0.16464102318534157,-0.0627,0.368,1.165,0.9393,1.4449
emb_avg_13,3.0322,0.1165,26.0184,3.0681144005359954e-149,2.8038,3.2606,20.7433,16.5074,26.0663
emb_avg_14,-1.3589,0.1156,-11.7518,6.912448331582369e-32,-1.5855,-1.1323,0.2569,0.2048,0.3223
emb_avg_15,-5.786,0.1332,-43.4442,0.0,-6.047,-5.5249,0.0031,0.0024,0.004
emb_avg_16,-0.5894,0.1128,-5.2252,1.739638530496439e-07,-0.8105,-0.3683,0.5546,0.4446,0.6919
emb_avg_17,-1.9062,0.1205,-15.8194,2.2858013399492813e-56,-2.1424,-1.6701,0.1486,0.1174,0.1882
emb_avg_18,-3.2515,0.1234,-26.3483,5.360999740188495e-153,-3.4934,-3.0096,0.0387,0.0304,0.0493
emb_avg_19,2.5371,0.1225,20.7103,2.7991481485204882e-95,2.297,2.7772,12.6429,9.9442,16.074
emb_avg_20,1.9283,0.1148,16.8014,2.381714721362199e-63,1.7033,2.1532,6.8776,5.4922,8.6124
emb_avg_21,-0.7359,0.1152,-6.387,1.6915668492852633e-10,-0.9618,-0.5101,0.4791,0.3822,0.6004
emb_avg_22,-1.2755,0.1162,-10.9773,4.912377583524196e-28,-1.5033,-1.0478,0.2793,0.2224,0.3507
emb_avg_23,-5.4544,0.1305,-41.8008,0.0,-5.7102,-5.1987,0.0043,0.0033,0.0055
emb_avg_24,-1.441,0.114,-12.6444,1.201618632108774e-36,-1.6643,-1.2176,0.2367,0.1893,0.2959
emb_avg_25,7.5996,0.14,54.2904,0.0,7.3253,7.874,1997.4593,1518.1891,2628.0282
emb_avg_26,3.1731,0.1265,25.0818,7.851692921720084e-139,2.9252,3.4211,23.8818,18.6372,30.6022
emb_avg_27,0.3492,0.1072,3.2558,0.0011305500419288763,0.139,0.5594,1.4179,1.1491,1.7496
emb_avg_28,-1.514,0.1212,-12.4906,8.403077303623284e-36,-1.7516,-1.2764,0.22,0.1735,0.279
emb_avg_29,-4.6623,0.1328,-35.1085,5.006361807501481e-270,-4.9226,-4.402,0.0094,0.0073,0.0123
emb_avg_30,1.3637,0.1179,11.5652,6.18407496881781e-31,1.1326,1.5948,3.9107,3.1037,4.9275
emb_avg_31,-3.2996,0.1205,-27.3759,5.316225003720683e-165,-3.5358,-3.0633,0.0369,0.0291,0.0467
emb_avg_32,1.8908,0.1151,16.4296,1.1734276237601076e-60,1.6653,2.1164,6.6249,5.2871,8.3013
emb_avg_33,3.4043,0.1274,26.714,3.2336232799686056e-157,3.1545,3.6541,30.0932,23.4421,38.6315
emb_avg_34,-2.5314,0.1135,-22.3096,2.984661899870936e-110,-2.7538,-2.309,0.0796,0.0637,0.0994
emb_avg_35,6.1292,0.136,45.0708,0.0,5.8626,6.3957,459.0488,351.645,599.2572
emb_avg_36,4.6557,0.1254,37.1277,1.0025547850090773e-301,4.41,4.9015,105.1868,82.2664,134.4931
emb_avg_37,-1.7046,0.1171,-14.5513,5.726605399117739e-48,-1.9342,-1.475,0.1818,0.1445,0.2288
emb_avg_38,-2.6958,0.115,-23.4418,1.6012384496642985e-121,-2.9212,-2.4704,0.0675,0.0539,0.0845
emb_avg_39,5.0386,0.1305,38.6185,0.0,4.7828,5.2943,154.2474,119.4432,199.1931
emb_avg_40,2.7535,0.1175,23.438,1.7504695412290254e-121,2.5232,2.9837,15.6971,12.4687,19.7614
emb_avg_41,3.5695,0.112,31.8792,5.1790015562161195e-223,3.3501,3.789,35.5005,28.5052,44.2124
emb_avg_42,0.5436,0.1127,4.8234,1.4109803788163143e-06,0.3227,0.7644,1.7221,1.3808,2.1478
emb_avg_43,-1.3176,0.117,-11.2658,1.9348207665586815e-29,-1.5469,-1.0884,0.2678,0.2129,0.3368
emb_avg_44,2.4481,0.1198,20.4376,7.750475789709988e-93,2.2133,2.6829,11.5666,9.1463,14.6274
emb_avg_45,3.6178,0.1248,28.9839,1.0488252153308358e-184,3.3731,3.8624,37.2544,29.1696,47.5799
emb_avg_46,-0.301,0.1185,-2.5411,0.011051651933870423,-0.5332,-0.0688,0.7401,0.5867,0.9335
emb_avg_47,0.5462,0.1124,4.8592,1.1784777159009652e-06,0.3259,0.7665,1.7266,1.3852,2.1522
emb_avg_48,-3.4804,0.1196,-29.1048,3.1172825334895425e-186,-3.7148,-3.246,0.0308,0.0244,0.0389
