,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_avg_0,3.5251,0.1109,31.7888,9.246002343925197e-222,3.3077,3.7424,33.9567,27.3234,42.2004
emb_avg_1,-3.7146,0.1081,-34.3762,5.716706013045624e-259,-3.9264,-3.5028,0.0244,0.0197,0.0301
emb_avg_2,2.0553,0.1091,18.83,4.284504323784775e-79,1.8414,2.2692,7.8091,6.3051,9.6718
emb_avg_3,0.4368,0.1013,4.3132,1.609091919370351e-05,0.2383,0.6352,1.5477,1.2691,1.8875
emb_avg_4,-2.7913,0.1083,-25.7735,1.7583558619730326e-146,-3.0035,-2.579,0.0613,0.0496,0.0758
emb_avg_5,-2.6752,0.1062,-25.1914,4.978996853638924e-140,-2.8833,-2.4671,0.0689,0.0559,0.0848
emb_avg_6,-1.6107,0.1044,-15.4289,1.0463358488955519e-53,-1.8153,-1.4061,0.1997,0.1628,0.2451
emb_avg_7,-3.8988,0.1159,-33.6389,4.536925872905391e-248,-4.1259,-3.6716,0.0203,0.0161,0.0254
emb_avg_8,-2.272,0.1106,-20.5381,9.840795490693875e-94,-2.4889,-2.0552,0.1031,0.083,0.1281
emb_avg_9,1.0214,0.1026,9.9521,2.4683580562907745e-23,0.8202,1.2225,2.7771,2.2711,3.3958
emb_avg_10,2.0514,0.0998,20.5504,7.639396154924776e-94,1.8558,2.2471,7.7789,6.3966,9.46
emb_avg_11,-2.6073,0.1071,-24.341,7.225323312136772e-131,-2.8173,-2.3974,0.0737,0.0598,0.091
emb_avg_12,0.0558,0.1008,0.554,0.5795782770698271,-0.1417,0.2534,1.0574,0.8679,1.2884
emb_avg_13,2.6917,0.1058,25.4324,1.1044749802126699e-142,2.4843,2.8992,14.7572,11.9927,18.1591
emb_avg_14,-1.2512,0.1056,-11.8481,2.2023046947496145e-32,-1.4581,-1.0442,0.2862,0.2327,0.352
emb_avg_15,-5.3076,0.1203,-44.1324,0.0,-5.5433,-5.0719,0.005,0.0039,0.0063
emb_avg_16,-0.5195,0.1031,-5.0395,4.667111290412583e-07,-0.7216,-0.3175,0.5948,0.486,0.728
emb_avg_17,-1.8496,0.11,-16.8154,1.8816164440940742e-63,-2.0652,-1.634,0.1573,0.1268,0.1951
emb_avg_18,-2.9683,0.1125,-26.3893,1.8194959340480752e-153,-3.1888,-2.7479,0.0514,0.0412,0.0641
emb_avg_19,2.2902,0.1109,20.6437,1.1114687310849775e-94,2.0727,2.5076,9.8766,7.9466,12.2755
emb_avg_20,1.8365,0.1048,17.522,9.736528506144127e-69,1.6311,2.0419,6.2744,5.1093,7.7053
emb_avg_21,-0.5815,0.1054,-5.5186,3.416973449687476e-08,-0.788,-0.375,0.559,0.4547,0.6873
emb_avg_22,-1.1176,0.1062,-10.5256,6.587454230911961e-26,-1.3257,-0.9095,0.3271,0.2656,0.4027
emb_avg_23,-4.8658,0.1172,-41.5093,0.0,-5.0955,-4.636,0.0077,0.0061,0.0097
emb_avg_24,-1.2756,0.1041,-12.2572,1.5364444317587134e-34,-1.4796,-1.0716,0.2793,0.2277,0.3424
emb_avg_25,6.9057,0.1246,55.4276,0.0,6.6615,7.1498,997.9029,781.6966,1273.9089
emb_avg_26,2.9102,0.1149,25.3225,1.8040173104479472e-141,2.6849,3.1354,18.3597,14.6569,22.9979
emb_avg_27,0.3154,0.0984,3.2059,0.0013465531146339043,0.1226,0.5083,1.3708,1.1304,1.6624
emb_avg_28,-1.2675,0.1103,-11.4916,1.4535173505150846e-30,-1.4836,-1.0513,0.2815,0.2268,0.3495
emb_avg_29,-4.1486,0.1196,-34.6886,1.1712567750468965e-263,-4.383,-3.9142,0.0158,0.0125,0.02
emb_avg_30,1.2616,0.1072,11.7714,5.47920945620094e-32,1.0515,1.4717,3.5311,2.8621,4.3565
emb_avg_31,-2.9516,0.1096,-26.9418,7.107377522002016e-160,-3.1664,-2.7369,0.0523,0.0422,0.0648
emb_avg_32,1.7152,0.1051,16.3128,8.007467255047819e-60,1.5091,1.9213,5.5579,4.5228,6.8298
emb_avg_33,3.0579,0.1157,26.4288,6.393639701534274e-154,2.8311,3.2847,21.2825,16.9643,26.6999
emb_avg_34,-2.2462,0.1036,-21.6806,3.130433929252546e-104,-2.4493,-2.0432,0.1058,0.0864,0.1296
emb_avg_35,5.5292,0.1222,45.2597,0.0,5.2898,5.7687,251.9525,198.3033,320.1159
emb_avg_36,4.126,0.1127,36.6234,1.2133164196534732e-293,3.9052,4.3468,61.9316,49.661,77.2342
emb_avg_37,-1.5279,0.107,-14.2844,2.738024562066284e-46,-1.7375,-1.3182,0.217,0.176,0.2676
emb_avg_38,-2.5331,0.1047,-24.1917,2.72056799615025e-129,-2.7384,-2.3279,0.0794,0.0647,0.0975
emb_avg_39,4.5811,0.1173,39.0406,0.0,4.3511,4.8111,97.6209,77.5642,122.8638
